DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,pH,Temp,EC,DO,Alkalinity,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Ca,Mg,Na,K,Sr,Si,B,Fe,Al,Ba,Be9,Al27,Si28,P31,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,Hg202,Sr isotopes,d13C-DIC,dD,d18O,NH4-N,Ortho-P,SamplingNote
MST,,,,,,pH,pH,degC,uS/cm,%,meq/kg,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,ng/L,-,‰,‰,‰,mg/L,mg/L,
(Detection limit),,,,,,,,,,,0.2,0.00023,0.00026,0.0002,0.11,2.5,0.13,0.16,0.25,2.5,0.22,0.14,0.04,0.015,0.012,0.006,0.024,0.004,0.004,0.004,0.004,0.042,0.096,0.684,0.723,0.027,0.003,0.003,0.012,0.006,0.0014,0.003,0.006,0.045,0.015,0.057,0.342,0.003,0.0003,0.006,0.003,0.003,0.003,0.429,0.204,0.255,1.23,0.87,0.61,2.41,0.204,0.876,0.231,0.255,0.228,0.762,0.057,0.468,0.678,0.54,,,,0.4,0.1,0.01,0.01,
(Lab Method),,,,,,PH_EC1,PH_EC2,OxyTem,PH_EC1,OxyTem,GA_titration,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ThermoQuest,ThermoQuest,WIA_LGR,WIA_LGR,SmartChem200,SmartChem200,
9/27/2005 13:30,EFJ2/VGS1,JEMEZ_S8,GRAB,Grab,Surface water,7,-9999,11.1,52.4,115.3,-9999,5.199,5.38,0.2936,0.1508,0.3358,0.065,0.08,0.125,3.0591,0.0479,4.8938,0.8479,3.6278,2.1462,0.0245,4.2311,0.002,0.1017,0.0828,0.0095,0.021,63.5,4010,21.9,0.621,0.436,0.058,5.46,99.9771,0.555,0.54,0.916,1.03,0.64,0.083,163,0.0847,0.029,0.003,0.0015,0.0388,12,153,256,36.5,143,31.5,6.06,28.2,4.83,27,5.42,13.9,1.73,13.2,2.04,-9999,0.08,36.1,1.46,-9999,-9999,-70.83,-9.56,0.004,0.008,
9/27/2005 14:00,EFJ3/VGS2,JEMEZ_S9,GRAB,Grab,Surface water,7,-9999,14,84.7,129.7,-9999,9.07,4.881,0.2795,0.726,1.4781,0.065,0.08,0.0263,1.7728,0.0174,5.7181,1.2059,10.9178,1.3623,0.0252,19.2189,0.0155,0.091,0.1335,0.0097,0.006,107,18300,14.6,0.603,0.91,0.156,2.36,88.7997,0.489,0.5,0.7716,1.03,0.69,0.176,192,1.08,0.003,0.01,0.0015,0.0515,13.3,153,268,38.8,157,34.8,6.7,33.8,4.42,29.9,5.21,17.8,2.72,15.7,1.9,-9999,0.07,110,8.71,-9999,-9999,-78.91,-11.08,0.002,0.007,
9/27/2005 14:45,EFJ4/VGS3,JEMEZ_S10,GRAB,Grab,Surface water,7,-9999,15.5,88,128.6,-9999,8.635,4.645,0.3122,0.9127,1.851,0.065,0.08,0.0497,1.555,0.0098,5.6738,1.2277,12.0688,1.2238,0.0245,21.2345,0.014,0.099,0.1358,0.0113,0.035,98.2,20600,13.9,0.673,1,0.18,2.04,92.9121,0.523,0.55,0.502,1.66,0.7,0.192,246,1.24,0.001,0.01,0.0015,0.0516,13.2,194,336,50.5,207,41.6,7.59,43.8,7.77,43.4,8.31,20.8,2.87,20.4,2.63,-9999,0.08,135,8.43,-9999,-9999,-80.67,-11.32,0.079,0.004,
9/27/2005 15:45,EFJ5/VGS4,JEMEZ_S11,GRAB,Grab,Surface water,7,-9999,14.7,92.6,121.1,-9999,10.2,6.167,0.3365,0.7236,1.6485,0.065,0.08,0.0131,0.9884,0.11,5.5895,1.4822,13.1434,1.2177,0.0283,18.6875,0.0128,0.1202,0.1876,0.0137,0.029,127,17500,14.3,0.684,0.86,0.196,1.64,97.0788,0.479,0.63,0.802,1.71,0.57,0.139,220,1.05,0.008,0.01,0.0015,0.0412,17.6,176,264,43.7,168,33.8,6.69,31.1,5.4,32.5,6.85,17.4,2.88,22.1,3.82,-9999,0.08,64.7,6.01,-9999,-9999,-80.17,-11.38,0.018,0.006,
9/27/2005 0:00,EFJ6/VGS5,JEMEZ_S12,GRAB,Grab,Surface water,7,-9999,18.2,77.2,118.4,-9999,4.691,1.839,0.1151,1.0701,1.5651,0.065,0.1485,0.125,2.4508,0.009,5.3098,1.011,11.301,1.2045,0.021,22.7788,0.0129,0.0832,0.1193,0.0095,0.017,97.8,22200,17.1,0.664,1.22,0.176,1.92,80.9968,0.476,0.4,0.378,0.79,0.84,0.164,183,1.36,0.013,0.01,0.0015,0.0566,11.4,150,268,38.8,154,36.8,5.48,30.7,4.92,30.2,4.91,15.7,1.77,15.2,1.78,-9999,0.07,136,9.17,-9999,-9999,-81.12,-11.43,0.046,0.01,
9/27/2005 0:00,EFJ7/VGS6,JEMEZ_S13,GRAB,Grab,Surface water,7,-9999,16.3,87,127.1,-9999,6.569,3.728,0.2005,1.106,1.9568,0.065,0.08,0.1053,1.8882,0.0052,5.0515,0.6992,10.1698,1.196,0.0167,25.5558,0.0127,0.0316,0.0396,0.002,0.006,23.3,25000,18,0.292,1.42,0.145,1.16,46.0642,0.423,0.26,0.582,0.54,1.04,0.036,81.7,1.57,0.006,0.003,0.0015,0.0692,8.85,70.2,122,17.7,61.5,15.4,1.84,12,1.99,11.9,2.54,5.7,0.531,4.86,0.659,-9999,0.04,172,10.7,-9999,-9999,-81.48,-11.27,0.005,0.01,
9/27/2005 14:30,VGKC1,JEMEZ_S14,GRAB,Grab,Surface water,6.7,-9999,15.1,84,18.9,0.88,8.892,17.71,0.9668,0.4499,8.8016,0.2371,0.027,0.0714,2.0888,0.11,7.4979,2.8242,18.8821,1.3583,0.0768,14.0931,0.5909,1.3111,2.163,0.9805,0.438,651.2643,11600,82.8,1.34,1.95,1.02,11.74,722.9444,1.27,2.487,3.19,153.32,1.21,0.48,2150,0.142,0.008,0.03,0.0015,0.281,1056.7686,2390,4560,548,2040,419,208,444,66,385,75,214,28.7,177,28.9,-9999,1.61,435,21,-9999,-9999,-33.18,-2.45,0.012,0.038,Pond dammed below seep
9/27/2005 15:10,VGKC2,JEMEZ_S15,GRAB,Grab,Surface water,6.6,-9999,12.1,54,23.1,-9999,7.405,1.937,0.1529,0.0433,0.1671,0.065,0.08,0.125,2.6586,0.0108,6.1384,2.1073,2.9161,0.8143,0.0562,12.1769,0.002,0.0201,0.0407,0.0204,0.017,47.9,11900,13.2,0.701,0.68,0.111,3.96,53.5016,0.542,0.31,0.441,0.52,0.14,0.0285,146,0.0015,0.001,0.003,0.0015,0.009,22.2,143,324,33.1,131,25.8,8.37,22.1,3.93,19.9,4.89,11.3,1.61,12.6,1.5,-9999,0.07,6.66,0.715,-9999,-9999,-75.83,-11.25,0.004,0.008,Small stream; muddy; sampled below rocks where rock emerged
9/27/2005 15:40,VGKC3,JEMEZ_S16,GRAB,Grab,Surface water,6.9,-9999,20,55,17.3,0.7,7.401,14.19,0.7835,0.429,8.9899,0.0728,0.0196,0.1192,4.2928,0.0057,5.2325,1.9643,17.1123,0.8436,0.0612,10.7289,0.5523,1.3507,1.1542,0.8199,0.299,473,9690,78.7,1.89,1.91,0.894,14.14,958.292,1.07,1.95,2.82,129.32,1.19,0.376,1780,0.019,0.006,0.02,0.0015,0.275,805.9275,2160,4680,543,2120,425,180,416,63.6,347,65,177,25.3,157,23.1,-9999,2.05,336,31.4,-9999,-9999,-37.86,-3.49,0.041,0.035,Mucky pond
9/27/2005 16:10,VGKC4,JEMEZ_S17,GRAB,Grab,Surface water,6.9,-9999,15.9,87,19.4,1.02,9.432,26.08,2.149,0.4384,7.4126,0.1837,0.0932,0.2513,2.9809,0.1361,7.0519,2.133,20.4992,2.165,0.0745,11.6149,0.5625,2.5969,0.9779,1.0695,0.535,670.7607,11300,271,2.11,4.99,0.774,34.84,2229.1748,1.6,2.742,3.45,156.32,2.23,0.478,4470,0.117,0.012,0.02,0.0015,0.311,1080.4469,5070,11300,1290,4870,992,310,991,157,873,163,478,64.2,380,55.3,-9999,5.37,694,31.4,-9999,-9999,-18.86,0.89,0.084,0.188,Mucky pond
