DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,pH,Temp,EC,DO,Alkalinity,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Ca,Mg,Na,K,Sr,Si,B,Be9,Al27,Si28,P31,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,d13C-DIC,dD,d18O,NH4-N,Ortho-P,FI,HIX,SUVA254,SamplingNote
MST,,,,,,pH,pH,degC,uS/cm,%,meq/kg,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,‰,‰,‰,mg/L,mg/L,nm/nm,nm/nm,au,
(Detection limit),,,,,,,,,,,0.2,0.00023,0.00026,0.0002,0.11,2.5,0.13,0.16,0.25,2.5,0.22,0.14,0.04,0.015,0.012,0.006,0.024,0.004,0.042,0.096,0.684,0.723,0.027,0.003,0.003,0.012,0.006,0.0014,0.003,0.006,0.045,0.015,0.057,0.342,0.003,0.0003,0.006,0.003,0.003,0.003,0.429,0.204,0.255,1.23,0.87,0.61,2.41,0.204,0.876,0.231,0.255,0.228,0.762,0.057,0.468,0.678,0.54,,0.4,0.1,0.01,0.01,,,,
(Lab Method),,,,,,PH_EC1,PH_EC2,OxyTem,PH_EC1,OxyTem,GA_titration,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ThermoQuest,WIA_LGR,WIA_LGR,SmartChem200,SmartChem200,Fluoromax4,Fluoromax4,UV_Vis,
3/13/2011 0:00,FLUME_MCZOB,JEMEZ_S205,GRAB,Grab,Surface water,6.7,7,2.3,-9999,-9999,-0.09,4.70118,13.45,0.947,0.0043,4.4153,0.065,0.08,1.2315,11.504,0.5704,12.246,1.024,1.324,4.885,0.0462,7.253,0.012,0.08,150,7252.7826,51.8,2.23,0.516,0.202,163,200.5814,0.431,1.28,48.2,27.5,0.371,0.084,1010,0.0015,0.0051,0.003,0.06,0.02,27.8,835,1480,240,673,245,46.1,338.5,37.7,219,44.9,136,18.46,122,19.9,0.234,0.16,72.2,-9999,-104.3,-13.5,0.192,0.032,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/14/2011 0:00,LowerHG,JEMEZ_S206,GRAB,Grab,Surface water,-9999,7.2,-9999,-9999,-9999,0.24,3.3975,3.623,0.315,0.0023,1.8031,0.065,0.0128,0.2305,6.0527,0.57,6.112,0.694,2.178,1.263,0.0212,10.751,0.0046,0.05,36.5,10751.0809,25.8,0.44,0.201,0.0691,1.13,26.3,0.0523,0.375,1.59,1.31,0.0603,0.2648,657,0.09,0.0011,0.003,0.02,0.0015,5.09,569,328,151,770,139,20.5,162.5,21.6,123,25.5,75.4,9.56,57.3,8.7,0.234,0.02,31,-9999,-87.7,-12.2,0.029,0.034,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/14/2011 0:00,TopHGSp,JEMEZ_S207,GRAB,Grab,Surface water,-9999,6.3,-9999,-9999,-9999,0,0.97276,4.28,0.892,0.0569,3.9538,0.0429,0.022,1.9117,4.3076,0.5055,3.03,0.271,2.083,1.812,0.0145,9.384,0.0044,0.04,5.26,9384.3539,0.2,0.07,0.289,0.047,44.6,22.5,0.0504,0.213,1.3,0.784,0.334,0.1333,249,0.02,0.0033,0.003,0.0015,0.01,4.79,162,133,46.5,231,50.4,7.47,54.7,7.27,46.5,9.5,29.4,4.49,26.5,4.83,0.234,0.01,11.9,-9999,-88.5,-12.1,0.09,0.002,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/14/2011 0:00,CowboySp,JEMEZ_S208,GRAB,Grab,Surface water,6.7,7.4,8.2,-9999,57.1,0.51,7.03974,1.157,0.333,0.5306,1.9257,0.0711,0.0344,0.299,2.5759,0.7026,5.225,0.682,6.582,5.146,0.0187,25.329,0.0054,0.05,7.53,25329.3594,8.36,0.13,0.465,0.113,0.862,5.1,0.03,0.141,0.258,0.581,0.286,0.554,87.3,0.49,0.0001,0.003,0.01,0.0015,8.74,32,42.1,9.59,26.9,9.72,4.11,16.9,2.58,16.4,3.84,12.8,2.66,14.8,3.38,0.234,0.339,63,-9999,-88.8,-12.4,0.032,0.017,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/14/2011 0:00,ERedondoSp6,JEMEZ_S209,GRAB,Grab,Surface water,6.9,7.4,2.1,-9999,80.2,0.42,5.58318,1.417,0.183,0.0816,1.1693,0.065,0.016,0.125,2.921,0.6625,7.099,0.488,3.498,0.918,0.0255,10.123,0.0025,0.021,6.1,10123.3033,111,0.1,0.348,0.0502,0.161,10.1,0.0469,0.215,1.05,0.689,0.424,0.1069,23.1,0.44,0.742,0.003,0.0015,0.0015,4.71,22.5,37.3,6.73,10.8,5.53,2.44,7.7,1.16,7.04,1.4,4.04,0.79,3.67,1.38,0.234,0.339,3.83,-9999,-85.8,-12.1,0.051,0.138,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/14/2011 0:00,WRedondoSp5,JEMEZ_S210,GRAB,Grab,Surface water,5.8,6.2,0.3,-9999,67.9,0.1,2.71542,6.371,0.294,0.1138,1.8092,0.065,0.0183,0.1366,40.9056,0.3196,6.731,0.751,9.922,5.702,0.0074,20.996,0.0035,0.07,20.8,20995.7633,0.79,0.32,0.267,0.0562,5.8,68.4,0.194,0.1379,0.221,0.339,0.047,0.098,1130,0.02,0.0001,0.003,0.002,0.01,4.91,1130,1750,359,1190,309,46.9,395.5,43,253,50.2,164,23.46,156,25.2,0.234,0.339,43.3,-9999,-93.8,-13,0.034,0.009,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/13/2011 0:00,LaJaraNo5,JEMEZ_S211,GRAB,Grab,Surface water,7,7.1,2.8,-9999,-9999,-0.28,4.66086,3.458,0.563,0.2401,1.9191,0.065,0.08,2.4651,5.0877,0.6208,9.085,0.661,1.415,1.274,0.0304,10.311,0.0031,0.04,40.5,10311.403,22.4,0.84,0.319,0.0566,8.93,52.7,0.092,0.486,1.24,2.51,0.294,0.064,494,0.06,0.0001,0.003,0.008,0.02,13.6,384,588,99.9,304,99.7,18.7,150.5,18,102,20.8,61,7.41,48.9,6.8,0.234,0.08,45.2,-9999,-90.4,-13.1,0.041,0.027,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/13/2011 0:00,TopWLJF,JEMEZ_S212,GRAB,Grab,Surface water,6.7,7.1,0.5,-9999,-9999,0.24,6.88014,5.527,0.112,0.3499,3.102,0.065,0.0219,0.0925,3.8106,0.593,11.157,1.006,1.826,2.599,0.0443,12.397,0.0026,0.03,20.5,12397.1594,9.32,0.69,0.153,0.0918,621.8575,259.9404,1.84,0.93,3.69,2.05,1.57,0.156,303,0.14,0.0079,0.003,0.002,0.03,23,164,295,53.4,153,55.5,16.7,76.4,10.2,59.5,12.9,42.1,5.78,41.8,6.87,0.234,0.02,32.5,-9999,-92.1,-13.3,0.025,0.009,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/13/2011 0:00,LaJaraSeep,JEMEZ_S213,GRAB,Grab,Surface water,6.8,5.9,5.4,-9999,-9999,-0.54,3.86286,1.241,0.245,0.0444,0.929,0.0396,0.0171,0.9211,3.577,0.5287,5.305,0.336,1.794,0.925,0.023,8.247,0.0025,0.06,14.8,8247.4012,31.1,0.18,0.174,0.0853,0.528,10.2,0.0393,0.197,0.1927,16.9,0.209,0.1226,155,0.11,0.1007,0.003,0.0015,0.01,5.18,90.2,183,23.6,42,24.4,4.07,37.8,4.03,26.8,5.16,16.7,1.32,12.6,0.93,0.234,0.01,10.1,-9999,-89.9,-13.1,0.03,0.041,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/14/2011 0:00,LaJaraMidWay,JEMEZ_S214,GRAB,Grab,Surface water,7,7,3.8,-9999,-9999,-0.27,3.5235,2.584,0.377,0.0037,1.5043,0.065,0.08,0.3851,4.0795,0.564,5.753,0.447,1.92,1.117,0.0242,8.403,0.0029,0.02,20.5,8402.8571,27,0.34,0.177,0.052,0.261,13,0.0407,0.219,0.443,1.26,0.183,0.1865,168,0.09,0.0006,0.003,0.0015,0.01,6,92.3,129,26.4,90.2,26.3,4.64,38.2,4.45,31.2,6.02,18,1.8,13.4,1.49,0.234,0.01,11.8,-9999,-91.3,-12.7,0.041,0.035,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/14/2011 0:00,VGJJ7,JEMEZ_S215,GRAB,Grab,Surface water,-9999,7.5,-9999,-9999,-9999,0.59,6.1863,4.405,0.184,0.6706,3.6277,0.065,0.08,0.125,1.8433,0.3078,7.837,1.095,8.389,2.804,0.0263,16.867,0.0049,0.02,216,16866.5621,17.9,4.36,1.03,0.242,24.4,207.9621,0.171,0.575,1.45,1.45,0.723,0.1476,266,1.05,0.0001,0.003,0.012,0.04,15.2,315,618,79.4,75.5,63.5,13.4,102.5,10.4,57.4,11.2,35,4.85,28,4.31,0.234,0.08,57.6,-9999,-90.5,-12.2,0.022,0.02,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
3/18/2011 14:30,FLUME_MCZOB,JEMEZ_S216,GRAB,Grab,Surface water,-9999,6.25,-9999,-9999,-9999,-0.45,3.929,15.67,0.777,0.0113,4.1618,0.065,0.08,0.7051,13.2612,0.5145,9.4321,0.8789,1.442,3.6602,0.0462,5.61,0.0059,0.1542,227.2556,5610,74.4,10.33,0.53,0.223,2.54,212,0.115,0.902,1.98,4.29,0.451,0.1424,2270,0.039,0.0189,0.013,0.0621,0.077,22.6,1460,2080,420,1460,418,70.5,430,65.3,376.65,76.7,221.6,31.2,206.9,33.3,0.1701,0.1072,102,-17.2,-105.2,-14.5,0.049,0.046,1.33,8.027,0.009,"used bottles: 1L amber, 250ml HDPE"
3/19/2011 17:45,FLUME_MCZOB,JEMEZ_S217,GRAB,Grab,Surface water,-9999,6.75,-9999,-9999,-9999,-0.37,4.479,14.96,0.699,0.19,3.5737,0.0741,0.08,0.0568,14.0896,0.5662,8.1904,0.8493,1.8217,4.7811,0.0398,5.74,0.0065,0.138,207.787,5740,79.2,11.13,0.581,0.234,2.1,229,0.111,0.856,2.75,3.58,0.458,0.1457,2200,0.0394,0.0191,0.016,0.056,0.074,18.6,1450,2060,411,1450,409,67.1,420,63,370.65,75.5,218.6,30.3,203.9,31.9,0.1544,0.1207,99,-15.1,-105.8,-14.4,0.037,0.05,1.28,7.366,0.013,
3/19/2011 15:00,FLUME_MCZOB,JEMEZ_S218,GRAB,Grab,Surface water,-9999,6.4,-9999,-9999,-9999,0.08,3.948,14.43,0.698,0.0303,3.4782,0.065,0.08,0.8609,13.3337,0.5181,7.5333,0.7841,1.3773,4.0232,0.0414,5.83,0.0071,0.1719,200.7513,5830,65.6,12.83,0.636,0.27,3.15,246,0.116,0.898,4.08,4.08,0.497,0.1313,2020,0.0278,0.0223,0.016,0.042,0.066,19.7,1350,2020,383,1280,382,65.3,393,57.3,342.65,70,204.6,28.3,190.9,29.6,0.1224,0.1334,98.3,-9999,-103.6,-14.2,0.06,0.044,1.31,6.271,0.014,
3/17/2011 15:00,FLUME_LLJ,JEMEZ_S219,GRAB_Auto,Grab,Surface water,-9999,6.7,-9999,-9999,-9999,-9999,3.575,2.335,0.1975,0.1672,1.003,0.065,0.08,0.125,3.4908,0.5033,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-89.4,-12.8,0.026,0.033,-9999,-9999,-9999,
3/21/2011 17:30,FLUME_LLJ,JEMEZ_S220,GRAB,Grab,Surface water,-9999,7,-9999,-9999,-9999,-0.41,3.76,2.436,0.163,0.031,0.9654,0.065,0.08,0.125,3.6639,0.5274,4.0706,0.4856,2.5828,0.6984,0.0261,6.63,0.0033,0.016,84.3,6630,30.1,1.77,0.259,0.0501,0.666,34,0.0248,0.1771,0.3055,1.84,0.218,0.0625,150,0.031,0.0001,0.003,0.03,0.032,5.94,108,279,29.4,16.4,21.7,4.21,30.4,4.38,24.75,5.32,15.3,2.032,14.5,2.355,0.0758,0.0119,10.3,-12.3,-89.5,-12.7,0.015,0.03,1.4,4.89,0.036,
3/21/2011 15:30,WestTribLJ,JEMEZ_S221,GRAB,Grab,Surface water,-9999,6.6,-9999,-9999,-9999,-0.24,6.682,7.052,0.263,0.007,1.2109,0.065,0.008,0.125,2.7373,0.4095,6.6698,0.8722,1.8573,1.5864,0.0382,8.53,0.0033,0.071,178,8530,44.6,5.45,0.324,0.0965,137,611,0.441,0.678,2.34,1.74,1.14,0.0983,822,0.0575,0.0179,0.004,0.026,0.054,14.8,513,962,149,383,153,26.5,161,23.8,146.65,30,92.4,13.2,91.4,15.2,0.0755,0.0871,82.1,-14.2,-101.3,-14.2,0.008,0.032,1.36,2.04,0.013,
3/19/2011 19:00,FLUME_LLJ,JEMEZ_S222,GRAB,Grab,Surface water,-9999,7.1,-9999,-9999,-9999,-0.1,4.031,2.619,0.22,0.0163,1.0458,0.065,0.08,0.125,3.5012,0.5144,3.9925,0.5081,2.4398,0.619,0.0277,6.53,0.0034,0.036,79.5,6530,28.2,1.7,0.248,0.0581,0.522,39.7,0.0198,0.174,0.428,0.982,0.193,0.0285,153,0.0231,0.0001,0.011,0.016,0.032,5.94,112,271,28,14.4,19.9,4,28.2,4.04,21.35,5,14.6,1.92,13.3,2.102,0.0629,0.0147,11.2,-12.1,-90.3,-12.9,0.013,0.029,1.35,4.348,0.038,
