DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,pH,Temp,EC,DO,Alkalinity,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Ca,Mg,Na,K,Sr,Si,B,Be9,Al27,Si28,P31,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,d13C-DIC,dD,d18O,NH4-N,Ortho-P,FI,HIX,SUVA254,SamplingNote
MST,,,,,,pH,pH,degC,uS/cm,%,meq/kg,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,‰,‰,‰,mg/L,mg/L,nm/nm,nm/nm,au,
(Detection limit),,,,,,,,,,,0.2,0.00023,0.00026,0.0002,0.11,2.5,0.13,0.16,0.25,2.5,0.22,0.14,0.04,0.015,0.012,0.006,0.024,0.004,0.042,0.096,0.684,0.723,0.027,0.003,0.003,0.012,0.006,0.0014,0.003,0.006,0.045,0.015,0.057,0.342,0.003,0.0003,0.006,0.003,0.003,0.003,0.429,0.204,0.255,1.23,0.87,0.61,2.41,0.204,0.876,0.231,0.255,0.228,0.762,0.057,0.468,0.678,0.54,,0.4,0.1,0.01,0.01,,,,
(Lab Method),,,,,,PH_EC1,PH_EC2,OxyTem,PH_EC1,OxyTem,GA_titration,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ThermoQuest,WIA_LGR,WIA_LGR,SmartChem200,SmartChem200,Fluoromax4,Fluoromax4,UV_Vis,
3/29/2011 15:00,FLUME_LLJ,JEMEZ_S296,GRAB_Auto,Grab,Surface water,-9999,6.7,-9999,-9999,-9999,-9999,3.581,1.951,0.1287,0.0157,1.2401,0.0606,0.08,0.125,3.2359,0.2021,4.5694,0.5331,3.0463,1.6462,0.0257,6.58,0.0039,0.021,74,6580,33.5,1.46,0.271,0.0435,0.435,30.4,0.0052,0.2014,1.71,2.7,0.252,0.096,100,0.165,0.0101,0.003,0.0951,0.029,6.03,82.6,204,20.9,2.6,13,1.85,20,2.74,16.4,3.09,10.54,1.42,10.61,0.282,0.003,0.0871,8.58,-9999,-89.3,-12.6,0.011,0.03,-9999,-9999,-9999,
3/28/2011 16:00,VGJJ7,JEMEZ_S297,GRAB_Auto,Grab,Surface water,-9999,7,-9999,-9999,-9999,-9999,7.438,3.043,0.1502,0.6822,1.8605,0.065,0.08,0.125,2.2584,0.2334,6.0752,1.0286,10.3458,2.646,0.0285,16.8,0.0069,0.052,236.59,16800,22.7,10.63,1.49,0.309,2.69,213,0.0577,0.387,1.368,3.45,1.07,0.0912,348,1.59,0.0001,0.003,0.124,0.0651,12,380,746,92.1,102,71.4,10.8,74.8,11.4,65.9,12.9,36.5,5.53,34.7,3.88,0.01,0.199,103,-9999,-82.6,-11.5,0.011,0.013,-9999,-9999,-9999,
4/4/2011 15:00,FLUME_UR,JEMEZ_S298,GRAB,Grab,Surface water,7.2,7.4,4.1,-9999,69.5,0.43,5.547,4.258,0.3292,0.0581,4.0776,0.0799,0.08,0.1799,15.5271,0.1942,18.2802,1.0556,5.913,3.8372,0.0736,9.13,0.0148,0.018,62.8,9130,24.6,1.5,0.314,0.0444,2.61,45.6,0.0332,0.439,1.202,5.02,0.283,0.0378,138,0.29,0.0727,0.003,0.0715,0.025,13.2,114,200,30.8,63.3,22,5.14,27.6,4.31,24.2,4.72,14.3,2.004,14.3,1.14,0.006,0.092,15.9,-4.9,-84.2,-12.2,0.013,0.017,1.39,6.027,0.039,
4/4/2011 15:30,FLUME_LJ,JEMEZ_S299,GRAB,Grab,Surface water,6.9,7.4,7.5,-9999,70.1,0.47,5.029,-9999,-9999,0.0644,2.7177,0.065,0.08,0.125,10.5733,0.5904,12.0166,0.9135,6.0696,3.3495,0.0494,8.73,0.0156,0.015,104,8730,49.3,2.66,0.479,0.0501,1.25,64.5,0.0255,0.394,1.111,6.51,0.656,0.0443,135,0.481,0.0393,0.003,0.0717,0.049,15.1,154,301,37,41.7,26.9,4.9,30.8,4.24,25.3,4.63,14.9,2.131,14.3,0.605,0.005,0.0507,13.4,-9999,-85.2,-12,0.039,0.045,-9999,-9999,-9999,
4/4/2011 15:45,FLUME_RM,JEMEZ_S300,GRAB,Grab,Surface water,6.7,7.3,10.5,-9999,64.1,0.47,5.68,1.92,0.1878,0.1655,0.8389,0.065,0.0245,0.125,2.9183,0.7394,6.7951,0.5449,5.8214,1.9805,0.0305,10.1,0.0058,0.04,55.4,10100,248,1.27,0.608,0.0589,0.29,24.8,0.0069,0.1726,1.39,1.046,2.13,0.104,86.3,1.12,0.0766,0.001,0.0683,0.0796,4.16,82.1,187,19.5,0.15,9.91,1.4,16.4,2.13,13.9,2.59,8.66,1.31,8.49,0.0285,0.003,0.0148,10.5,-9999,-78.5,-11.4,0.044,0.242,1.33,4.23,0.038,
4/4/2011 10:00,FLUME_UJ,JEMEZ_S301,GRAB,Grab,Surface water,7.8,7.3,0.1,-9999,66.7,0.35,4.599,5.244,0.3513,0.1413,1.2256,0.0877,0.08,0.1941,4.2782,0.2004,7.5006,0.9316,3.8301,3.3812,0.0325,10.2,0.0035,0.052,167.9652,10200,21.5,5.45,0.376,0.0668,2.08,100,0.0577,0.37,2.6,1.87,0.324,0.0979,368,0.346,0.0001,0.003,0.0722,0.029,10.8,221,377,59.4,153,53.3,8.45,65.8,9.6,57.5,12.1,38.4,5.61,38.8,4.85,0.002,0.0672,41.6,-10,-89.5,-12.7,0.061,0.011,1.36,5.483,0.047,
3/31/2011 16:30,FLUME_UJ,JEMEZ_S302,GRAB_Auto,Grab,Surface water,-9999,6.8,-9999,-9999,-9999,-9999,4.42,4.615,0.2513,0.0537,1.0502,0.065,0.08,0.125,3.6083,0.4579,6.2968,0.8233,3.6884,3.5213,0.0302,8.37,0.0042,0.049,190,8370,18.6,4.59,0.45,0.0733,1.04,110,0.0251,0.368,0.568,2.75,0.332,0.0741,374,0.35,0.0001,0.003,0.154,0.028,10.8,247,406,67.8,174,56.9,9.35,69.7,9.9,62.1,12.5,39.9,5.85,39.3,5.05,0.004,0.0655,36.5,-9999,-90.5,-12.6,0.02,0.014,-9999,-9999,-9999,
4/1/2011 16:30,FLUME_UJ,JEMEZ_S303,GRAB_Auto,Grab,Surface water,-9999,6.6,-9999,-9999,-9999,-9999,4.36,4.94,0.2632,0.0361,1.1853,0.065,0.08,0.2529,3.9332,0.503,7.0172,0.8524,4.0452,3.812,0.0305,8.74,0.0043,0.066,155.2043,8740,20.3,4.95,0.461,0.0679,1.26,112,0.0283,0.395,0.902,3.47,0.33,0.0593,376,0.334,0.0001,0.003,0.127,0.03,10.8,233,379,62.3,171,55.7,8.78,67.8,10.1,62.5,12.1,39.7,5.81,40.1,4.87,0.003,0.0761,41.2,-9999,-90.3,-12.6,0.015,0.016,-9999,-9999,-9999,
4/2/2011 16:30,FLUME_UJ,JEMEZ_S304,GRAB_Auto,Grab,Surface water,-9999,6.9,-9999,-9999,-9999,-9999,4.276,4.976,0.2793,0.0109,1.179,0.0149,0.08,0.2917,3.8367,0.3964,7.3751,0.8677,3.8828,3.8047,0.0303,8.83,0.0042,0.073,155.0932,8830,21.4,6.06,0.477,0.0773,1.42,120,0.0249,0.363,0.7,2.77,0.331,0.132,382,0.33,0.0001,0.003,0.117,0.03,11,235,384,62.9,165,54.8,9.03,67.9,10.1,60.1,12.4,39.7,5.53,39.4,5.09,0.003,0.0743,39.5,-9999,-89.8,-12.6,0.013,0.014,-9999,-9999,-9999,
4/3/2011 16:30,FLUME_UJ,JEMEZ_S305,GRAB_Auto,Grab,Surface water,-9999,6.9,-9999,-9999,-9999,-9999,4.359,5.302,0.2797,0.0311,1.2338,0.0555,0.08,0.424,4.115,0.2644,7.2863,0.8633,3.5244,3.5382,0.0315,9.31,0.0041,0.083,186,9310,23.6,4.22,0.422,0.0517,1.6,104,0.0239,0.372,0.751,1.97,0.324,0.077,427,0.342,0.207,0.003,0.0983,0.029,11.1,263,434,70.6,197,66.1,10.5,74.7,10.9,69.8,14.3,44.7,6.42,43.5,5.67,0.003,0.0732,47.5,-9999,-90.7,-12.8,0.02,0.018,-9999,-9999,-9999,
4/4/2011 11:00,FLUME_LJ,JEMEZ_S306,GRAB,Grab,Surface water,7.7,7.4,1.8,-9999,66.6,0.4,5.42,6.134,0.28,0.0982,1.1466,0.065,0.08,0.125,4.4814,0.4824,8.5825,1.0219,4.7104,3.9519,0.0443,8.54,0.004,0.05,151.0913,8540,14.16,7.13,0.68,0.131,4.73,157,0.106,0.617,2.37,2.13,0.366,0.0487,422,0.505,0.0165,0.003,0.0819,0.045,18.4,346,666,94.2,185,76.7,12.9,84.2,12.7,74.8,14.9,45.1,6.49,43.2,5.39,0.005,0.293,57.2,-9999,-87.5,-12.1,0.021,-0.002,1.32,3.213,0.019,
4/4/2011 11:30,FLUME_HG,JEMEZ_S307,GRAB,Grab,Surface water,7.1,7.3,2.5,-9999,69.6,0.13,2.405,3.529,0.1413,0.1015,1.3035,0.0427,0.08,0.0512,4.5868,0.2352,2.2295,0.6522,2.9587,1.9586,0.0211,7.32,0.0038,0.043,173.1482,7320,9.92,3.57,0.251,0.057,1.68,80.4,0.0264,0.312,2.15,2.59,0.173,0.0408,430,0.231,0.0001,0.004,0.0761,0.029,6.77,268,523,68.5,140,60.1,7.54,74.1,10.8,65.6,13.7,38.9,5.61,36.6,4.29,0.003,0.158,25.6,-11.3,-87.1,-12,0.033,0,-9999,-9999,-9999,
4/4/2011 12:00,FLUME_LLJ,JEMEZ_S308,GRAB,Grab,Surface water,7.1,7.3,3.4,-9999,67.5,0.27,3.326,2.171,0.1726,0.0331,1.066,0.065,0.08,0.125,3.2336,0.3583,4.4143,0.5285,2.9159,1.6179,0.0242,6.29,0.0026,0.015,61.3,6290,30.1,1.4,0.2,0.035,0.454,23.8,0.0026,0.2168,1.061,11.22,0.231,0.0676,105,0.149,0.38,0.003,0.0696,0.017,4.78,77.5,200,21.1,12.5,12.5,2.17,21.7,2.98,17.7,3.39,10.79,1.6,11.3,0.274,0.002,0.0579,9.64,-10.8,-89.1,-12.7,0.076,0.024,1.38,4.204,0.034,
3/31/2011 15:00,FLUME_LLJ,JEMEZ_S309,GRAB_Auto,Grab,Surface water,-9999,6.9,-9999,-9999,-9999,-9999,3.582,1.925,0.1154,0.1618,0.8646,0.0347,0.08,0.125,3.5937,0.5834,4.6102,0.542,3.2396,1.9749,0.0263,6.41,0.004,0.012,57.1,6410,32.2,1.19,0.295,0.0257,0.325,22.7,0.0082,0.1641,2.42,2.12,0.268,0.0753,99.8,0.163,0.0401,0.003,0.0917,0.024,5.57,72.5,194,20.7,2.6,11.9,1.94,20.5,2.49,15.8,3.03,10.45,1.5,10.29,0.036,0.002,0.0751,8.3,-9999,-89.1,-12.8,0.011,0.032,-9999,-9999,-9999,
4/4/2011 13:45,VGJJ7,JEMEZ_S310,GRAB,Grab,Surface water,7.3,7.8,8.7,-9999,82.2,0.69,7.764,2.793,0.1483,0.7838,1.6541,0.065,0.08,0.125,2.1884,0.2741,6.5128,1.1964,11.6107,2.4199,0.0298,17,0.0067,0.029,343.3264,17000,26.8,6.79,1.22,0.222,4.24,144,0.0973,0.313,3.42,2.69,1.05,0.0785,225,1.59,0.0348,0.003,0.0784,0.0616,10.4,236,453,57.1,57.3,38.3,6.95,45.6,7.08,39.6,7.79,24.1,3.425,21.8,1.75,0.004,0.1039,82.6,-9999,-81.1,-11.2,0.006,0.014,1.29,1.491,0.054,
3/31/2011 16:00,VGJJ7,JEMEZ_S311,GRAB_Auto,Grab,Surface water,-9999,7.4,-9999,-9999,-9999,-9999,7.439,2.886,0.14,0.7742,1.8166,0.065,0.08,0.125,2.1863,0.27,5.7781,1.0425,10.7279,2.6755,0.028,16.9,0.0072,0.01,190.516,16900,22.5,8.1,1.48,0.28,1.35,177,0.0541,0.356,1.39,2.95,1.08,0.116,279,1.75,0.0001,0.003,0.0865,0.0664,11,309,597,75.9,89.6,55.7,8.61,61.6,9.1,52.5,9.77,30.8,4.13,27.8,2.9,0.006,0.161,95,-9999,-81.9,-11.4,0.015,0.017,-9999,-9999,-9999,
4/1/2011 16:00,VGJJ7,JEMEZ_S312,GRAB_Auto,Grab,Surface water,-9999,6.7,-9999,-9999,-9999,-9999,7.663,3.13,0.1685,0.7959,2.1438,0.065,0.08,0.125,2.1318,0.2573,6.3357,1.119,11.252,2.6958,0.0299,17.1,0.0077,0.052,170.7344,17100,26.4,7.13,1.44,0.249,1.72,148,0.0517,0.585,1.91,4.42,1.15,0.0916,264,1.79,0.264,0.003,0.145,0.0699,11.9,289,548,70,85.1,50.7,8.59,57.3,8.5,49.7,9.23,27.8,4.32,27.4,2.84,0.006,0.1371,85.5,-9999,-82.2,-11.3,0.021,0.011,-9999,-9999,-9999,
4/2/2011 16:00,VGJJ7,JEMEZ_S313,GRAB_Auto,Grab,Surface water,-9999,6.9,-9999,-9999,-9999,-9999,7.767,3.027,0.142,0.8785,1.8936,0.066,0.08,0.125,2.2226,0.2808,6.2628,1.1136,10.9549,2.5051,0.0294,17.3,0.0075,0.033,196.3432,17300,25.6,8.54,1.47,0.272,2.03,188,0.0628,0.35,1.86,2.77,1.14,0.0883,297,1.83,0.0017,0.003,0.129,0.063,11.4,326,633,77.6,86.8,61.1,9.57,63.4,9.3,53.3,10.5,31.5,4.44,29.5,3.07,0.005,0.187,98.8,-9999,-82.2,-11.3,0.014,0.02,-9999,-9999,-9999,
4/3/2011 16:00,VGJJ7,JEMEZ_S314,GRAB_Auto,Grab,Surface water,-9999,7,-9999,-9999,-9999,-9999,7.586,3.154,0.1729,0.7606,3.0683,0.065,0.08,0.2207,2.1148,0.2368,6.7621,1.2091,11.4058,2.5508,0.03,16.8,0.0075,0.021,185.5309,16800,29.5,3.91,1.25,0.272,4.71,108,0.0644,0.522,4.39,6.14,1.08,0.1,229,1.81,0.0023,0.003,0.0938,0.0684,11.5,232,450,58.3,74.9,42,7.32,48.5,7.35,42.3,7.84,23.9,3.554,23,1.82,0.005,0.315,80.9,-9999,-81.6,-11.1,0.029,0.008,-9999,-9999,-9999,
4/4/2011 13:00,VGJJ9,JEMEZ_S315,GRAB,Grab,Surface water,7.4,7.5,6.2,-9999,75.6,0.69,8.368,2.597,0.1236,0.7615,1.4648,0.065,0.08,0.125,2.1396,0.6036,7.3132,1.2737,11.9042,2.3707,0.0302,17.8,0.0072,0.054,145.0448,17800,21.4,5.31,1.07,0.23,4.54,123,0.0853,0.2928,2.14,1.39,0.936,0.142,196,1.79,0.184,0.003,0.0769,0.0592,10.5,212,423,53.6,65.2,37.8,6.41,44.1,6.18,37.5,6.97,21.5,3.213,20.4,1.57,0.004,0.0928,72,-9999,-81.5,-11.2,0.013,0.012,1.27,3.066,0.045,
4/11/2011 15:00,WestTribLJ,JEMEZ_S316,GRAB,Grab,Surface water,-9999,6.8,-9999,-9999,-9999,0.24,3.02,4.388,0.4088,0.0146,0.82,0.065,0.08,0.3284,2.7976,0.2111,3.8936,0.373,1.5465,1.39,0.0179,12.7542,0.0031,0.068,51.5,12754.2272,19.6,0.983,0.432,0.0498,33.38,146,0.107,0.684,0.828,1.235,0.753,0.0501,623,0.1858,0.2,0.008,0.0015,0.039,8.51,328.2,667,101,456,114,19.8,121,19.48,114,23.7,73.5,10.84,78.6,12.43,0.234,0.0442,82.5,-13.6,-91.1,-12.9,0.061,0.025,1.33,4.826,0.049,
4/11/2011 15:00,FLUME_MCZOB,JEMEZ_S317,GRAB,Grab,Surface water,-9999,6.9,-9999,-9999,-9999,0.19,2.803,9.692,0.5511,0.0999,1.0894,0.065,0.08,0.125,8.1378,0.5574,6.4645,0.5299,1.6956,1.9966,0.0277,9.9404,0.0043,0.132,103.8,9940.4403,15.4,1.185,0.6,0.152,3.84,129,0.103,1.06,1.74,3.98,0.39,0.0956,1150,0.052,0.0006,0.016,0.0015,0.045,15.9,715.2,1250,207,933,209,37.2,220,33.28,199,40.5,118.8,17.1,116,18.03,0.234,0.112,87,-12.8,-86.2,-12,0.029,0.018,1.33,6.343,0.012,
4/5/2011 16:00,FLUME_MCZOB,JEMEZ_S318,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.887,11.37,0.6414,0.0032,1.1665,0.065,0.08,0.125,7.611,0.537,7.0773,0.5877,1.6893,2.5487,0.0297,12.3852,0.0054,0.134,86.1,12385.2075,21,1.181,0.647,0.153,4.19,124,0.146,1.48,3.37,4.74,0.42,0.163,1330,0.085,0.0014,0.013,0.0015,0.05,16.6,827.2,1450,238,1070,247,43.6,262,39.88,229,48,143.8,20.2,137,21.43,0.234,0.189,104,-9999,-90,-12.5,0.021,0.02,-9999,-9999,-9999,
4/6/2011 16:00,FLUME_MCZOB,JEMEZ_S319,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.624,11.13,0.5895,0.0042,1.1824,0.0632,0.08,0.125,8.3869,0.537,6.672,0.556,1.6357,2.2847,0.0294,12.0905,0.0049,0.167,84.6,12090.5061,18.5,1.088,0.673,0.155,4.59,124,0.164,1.14,3.88,3.21,0.412,0.114,1320,0.053,0.618,0.011,0.0015,0.048,15.8,810.2,1440,236,1080,244,43.4,258,39.78,226,46.8,139.8,19.9,134,21.43,0.234,0.141,109,-9999,-89.7,-12.3,0.021,0.018,-9999,-9999,-9999,
4/7/2011 16:00,FLUME_MCZOB,JEMEZ_S320,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.369,11.96,0.6341,0.0041,1.2778,0.0624,0.08,0.125,8.5936,0.5697,6.3586,0.5396,1.6208,1.9678,0.0272,11.5138,0.0039,0.148,91.3,11513.7647,17.9,1.107,0.63,0.161,4.18,136,0.132,1.19,4.81,3.81,0.386,0.185,1320,0.049,0.0965,0.013,0.0015,0.051,14.6,813.2,1480,239,1070,253,45,262,39.28,227,47.2,140.8,20.1,137,21.73,0.234,0.155,108,-9999,-88.8,-12.4,0.032,0.016,-9999,-9999,-9999,
4/8/2011 16:00,FLUME_MCZOB,JEMEZ_S321,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.349,11.82,0.6348,0.0087,1.1828,0.065,0.08,0.125,7.6797,0.549,6.6101,0.5346,1.6929,2.1343,0.0273,12.0806,0.0044,0.146,94.5,12080.6102,21.1,1.222,0.59,0.148,3.81,134,0.119,1.18,2.94,3.21,0.415,0.152,1370,0.054,0.0007,0.026,0.008,0.063,14.5,860.2,1400,248,1130,251,44.3,273,41.28,235,47.9,144.8,19.8,136,21.63,0.234,0.108,90.6,-9999,-87.8,-12.4,0.082,0.018,-9999,-9999,-9999,
4/9/2011 16:00,FLUME_MCZOB,JEMEZ_S322,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.395,11.6,0.6346,0.1003,1.272,0.0743,0.08,0.0649,9.3522,0.5658,6.4519,0.5413,1.7019,1.9975,0.0282,10.7066,0.0042,0.145,96.7,10706.5727,17.9,1.139,0.616,0.153,4.51,133,0.142,1.17,4.15,12.56,0.413,0.185,1310,0.048,0.009,0.012,0.0015,0.049,15.9,826.2,1420,237,1090,248,43.3,258,39.68,227,47.1,137.8,19.6,132,21.03,0.234,0.143,102,-9999,-87.9,-12.3,0.017,0.015,-9999,-9999,-9999,
4/11/2011 14:30,FLUME_UR,JEMEZ_S323,GRAB,Grab,Surface water,7.3,7.4,4.8,-9999,74.8,0.47,5.664,3.562,0.3544,0.0073,3.8775,0.0844,0.08,0.6414,16.7118,0.1751,11.9915,0.8528,4.983,1.9203,0.0675,14.4425,0.0144,0.026,41.3,14442.5045,19.6,1.045,0.441,0.0585,2.62,46,0.0685,1.17,0.4154,1.048,0.2882,0.0668,109,0.2046,0.0008,0.006,0.0015,0.022,15.4,89.5,156,23.3,96.7,22,5.99,21.2,3.098,18.3,3.51,11.9,1.5633,11.55,1.78,0.234,0.0092,15,-5.9,-82.5,-11.9,0.019,0.02,1.37,8.79,0.036,
4/11/2011 15:00,FLUME_LJ,JEMEZ_S324,GRAB,Grab,Surface water,7.3,7.5,8.1,-9999,74.7,0.46,5.431,2.957,0.1856,0.1463,2.7188,0.065,0.08,0.125,9.0425,0.5816,8.5351,0.707,5.129,1.5763,0.0441,13.7433,0.0176,0.015,64.4,13743.2988,44.7,1.51,0.637,0.0642,1.208,60.9,0.0632,0.831,0.748,1.642,0.658,0.0529,128,0.46,0.0053,0.009,0.0015,0.044,17.1,150.2,300,35.4,144,29.6,6.69,28.6,4.37,24.3,4.89,14,1.871,13.1,2.05,0.234,0.0393,16.2,-9999,-84.9,-12,0.017,0.049,-9999,-9999,-9999,
4/11/2011 15:30,FLUME_RM,JEMEZ_S325,GRAB,Grab,Surface water,6.7,7.3,13.1,-9999,64.5,0.44,5.657,1.901,0.2229,0.3217,0.8552,0.0662,0.0414,0.125,3.0398,0.7515,5.6511,0.3883,4.6708,0.988,0.0271,13.5319,0.0075,0.026,48.8,13531.925,215,1.232,1.02,0.102,0.409,33,0.0385,0.536,0.517,1.246,2.12,0.128,111,1.165,0.0135,0.008,0.0015,0.075,4.42,103.2,240,22.7,87.6,17.8,3.06,20.6,3.221,16.8,3.61,11.9,1.6559,11.46,1.76,0.234,0.0201,14.2,-9999,-78.8,-11.2,0.02,0.255,1.28,2.658,0.046,
4/11/2011 10:00,FLUME_UJ,JEMEZ_S326,GRAB,Grab,Surface water,6.9,7.3,0.1,-9999,68.9,0.43,4.598,4.611,0.4076,0.0494,1.1299,0.065,0.08,0.2671,4.833,0.4643,6.2597,0.7396,3.2893,1.557,0.029,14.5528,0.004,0.074,58.8,14552.7992,13.7,0.885,0.468,0.0628,1.87,82.9,0.0669,0.753,0.838,1.056,0.2969,0.0878,378,0.366,0.0001,0.006,0.0015,0.035,11.2,226.2,402,61.2,273,60.5,10.73,66,10.39,61.7,13.1,39.9,5.58,39.9,6.45,0.234,0.0535,43.9,-11.1,-88.9,-12.6,0.027,0.017,1.38,4.013,0.048,
4/11/2011 16:30,FLUME_UJ,JEMEZ_S327,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,4.47,5.133,0.4057,0.0039,1.4784,0.1073,0.08,0.4007,4.8603,0.2207,6.0782,0.6963,3.1473,1.6641,0.0284,13.1792,0.0045,0.081,49.3,13179.1831,16.4,0.946,0.54,0.0672,1.166,77.3,0.0697,0.77,1.157,4.58,0.3221,0.0751,372,0.3294,0.0044,0.006,0.0015,0.031,11.3,228.2,379,60.7,267,57.6,9.81,61.7,10.07,58.4,12.7,39.7,5.83,38.2,6.31,0.234,0.164,39.9,-9999,-87.9,-12.4,0.018,0.019,-9999,-9999,-9999,
4/11/2011 16:30,FLUME_UJ,JEMEZ_S328,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,4.276,4.83,0.3748,0.0062,1.2364,0.0579,0.08,0.0623,4.1359,0.59,6.1086,0.6877,3.1997,1.6954,0.0281,15.3545,0.0049,0.066,48.5,15354.5378,16.8,0.94,0.568,0.0676,0.955,75.4,0.0667,0.773,0.923,2.18,0.3152,0.114,366,0.349,0.0031,0.005,0.0015,0.031,11.2,215.2,356,58.4,266,57.1,9.43,62.3,9.69,59.7,12.4,37.1,5.49,37.6,6.01,0.234,0.1,39.5,-9999,-88,-12.3,0.022,0.019,-9999,-9999,-9999,
4/11/2011 16:30,FLUME_UJ,JEMEZ_S329,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,4.609,4.726,0.3801,0.0045,1.0898,0.065,0.08,0.125,3.9056,0.5329,6.3718,0.7288,3.3671,1.7453,0.0278,16.6009,0.0047,0.052,50.3,16600.8912,19.1,0.88,0.552,0.062,1.126,76.7,0.0698,0.721,2.35,2.56,0.3229,0.0815,354,0.3431,0.0027,0.008,0.0015,0.032,11.1,213.2,361,56.1,245,54.9,9.56,59.5,9.37,56.9,12.4,38.3,5.12,35.8,5.92,0.234,0.0779,39.8,-9999,-87.5,-12.3,0.024,0.018,-9999,-9999,-9999,
4/11/2011 16:30,FLUME_UJ,JEMEZ_S330,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,4.397,6.316,0.4887,0.055,1.3688,0.0641,0.08,0.1574,4.1778,0.2057,6.3079,0.7215,3.2043,1.8843,0.0287,15.2155,0.0047,0.051,55.7,15215.4706,25.9,1.052,0.532,0.0955,1.98,97.8,0.0957,1.37,2.23,4.6,0.3191,0.116,458,0.402,0.0048,0.009,0.0015,0.047,11.4,369.2,424,72.7,321,71.9,12.2,83.2,12.28,74.6,15.8,46.7,6.91,48.6,8.03,0.234,0.157,47.9,-9999,-88.3,-12.5,0.025,0.023,-9999,-9999,-9999,
4/11/2011 16:30,FLUME_UJ,JEMEZ_S331,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,4.06,7.091,0.5188,0.0567,1.6072,0.041,0.08,0.1714,4.9652,0.4738,5.9955,0.6932,3.0276,1.6851,0.0287,13.5048,0.0051,0.062,61.6,13504.7505,21.6,1.154,0.608,0.0924,1.337,108,0.0707,0.896,1.227,11.46,0.3427,0.105,519,0.3438,0.0191,0.007,0.0015,0.035,11.9,311.2,461,83.4,358,82.6,14.1,90.4,13.58,80.1,17.4,54,7.74,52.9,8.43,0.234,0.0656,49.9,-9999,-87.2,-12.4,0.032,0.018,-9999,-9999,-9999,
4/11/2011 16:30,FLUME_UJ,JEMEZ_S332,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,4.401,5.881,0.4161,0.0846,1.3416,0.065,0.08,0.3299,4.5957,0.4604,8.4907,0.7561,3.72,1.9978,0.0291,13.2268,0.0045,0.065,52.1,13226.8138,17.3,0.851,0.565,0.0837,1.83,89.3,0.0851,0.964,1.138,1.91,0.332,0.116,428,0.3437,0.331,0.005,0.0015,0.032,11.1,256.2,402,66.8,304,65.1,11.3,74.2,11.38,67.5,14.3,43.6,6.72,44.3,6.96,0.234,0.0445,44.3,-9999,-88.1,-12.6,0.018,0.019,-9999,-9999,-9999,
