DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,Temp,EC,DO,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,dD,d18O,NH4-N,Ortho-P,FI,HIX,UVA254,UVA280,SUVA254,SUVA280,SamplingNote
MST,,,,,,pH,degC,uS/cm,%,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,‰,‰,mg/L,mg/L,nm/nm,nm/nm,au,au,au,au,
(Detection limit),,,,,,,,,,0.00023,0.00026,0.0002,2.37,0.82,3.34,1.9,0.51,0.84,1.45,0.00424,2.265,0.7582,0.0403,0.00424,0.66,3.2668,0.1443,0.4243,0.0106,0.1527,0.123,0.00212,0.1761,0.1252,0.00636,0.00212,0.01485,0.00849,0.2715,0.0127,0.7637,0.0764,0.0127,0.0382,0.1782,0.00636,0.0191,2.1001,4.5184,0.3606,0.6788,0.1909,0.9758,0.7849,0.0424,0.2969,0.0424,0.2969,0.0212,0.063,0.0212,0.0658,0.00212,0.1365,0.4,0.1,0.01,0.01,,,,,,,
(Lab Method),,,,,,PH_EC1,OxyTem,PH_EC1,OxyTem,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,WIA_LGR,WIA_LGR,SmartChem200,SmartChem200,Fluoromax4,Fluoromax4,UV_Vis,UV_Vis,UV_Vis,UV_Vis,
3/10/2012 10:00,FLUME_HG,JEMEZ_s599,GRAB,Grab,Surface water,7.4,0.3,-9999,77.8,2.847,3.246,0.326,1.185,30.29,1.67,0.95,12.12,41.53,0.725,0.00212,1.1325,3031.17,630.78,310.94,11407.41,202.05,662.86,7849.75,1.6,0.12,0.37,1.2,10.97,0.13,0.44,1.07,4.84,0.14,8.11,19.53,606.08,0.2,0.0064,0.0191,0.0891,0.00318,6.94,472.64,1002.71,120.29,541.63,94.59,16.41,111.09,16.01,89.75,17.69,61.08,7.51,56.04,8.2,0.0329,0.18,15.24,-85.66,-12.21,0.0165,0.0151,-9999,-9999,-9999,-9999,-9999,-9999,dug out snow & ice
3/10/2012 14:22,TopHGSp,JEMEZ_s600,GRAB,Grab,Surface water,6.7,0.7,-9999,70.2,2.65,2.951,0.4432,1.185,38.38,1.67,0.95,19.91,41.54,0.725,0.00212,1.1325,2156.52,642.74,56.16,8978.73,217.09,46.74,156.24,1.08,0.51,0.0615,0.93,42.85,0.12,2.23,1.68,5.73,0.16,8.21,19.22,567.13,0.17,0.0064,0.0191,0.0891,0.00318,4.67,344.55,590.39,90.23,381.28,83.04,14.47,105.7,14.77,73.16,18.66,52.7,6.99,38.71,8.58,0.0329,0.17,13.7,-86.6,-12.52,0.0109,0.016899999,-9999,-9999,-9999,-9999,-9999,-9999,dug out snow & ice
3/11/2012 12:00,FLUME_LLJ,JEMEZ_s601,GRAB,Grab,Surface water,6.5,1,-9999,70.1,3.422,1.47,0.2498,1.185,14.87,1.67,0.95,11.58,28.27,0.725,0.00212,1.1325,2131.27,504.22,44.82,7421.73,213.78,32.91,185.89,0.73,0.67,0.0615,2.63,32.22,0.13,0.36,0.51,3.32,0.22,7.41,20.69,206.49,0.19,0.0064,0.0191,0.0891,0.00318,5.65,154.67,511.75,36.85,179.39,25.2,8.67,42.95,3.99,31.95,6.28,16.84,2.39,21.77,2.29,0.0329,0.04,6.68,-88.75,-12.72,0.0174,0.0348,-9999,-9999,-9999,-9999,-9999,-9999,
3/11/2012 12:00,FLUME_ULJ,JEMEZ_s602,GRAB,Grab,Surface water,6.7,3.9,-9999,70.1,3.177,1.548,0.2992,1.185,13.92,1.67,0.95,12.52,27.25,0.725,0.00212,1.1325,2084.25,469.02,22.96,7257.99,327.73,658.3,180.63,0.65,0.84,0.37,0.00106,28.43,0.0626,0.00318,0.00106,1.73,0.51,1.92,22.86,205.04,0.0382,0.0064,0.0191,0.0891,0.00318,5.05,143.69,398.31,37.51,152.4,21.39,10.59,35.09,5.24,30.04,7.52,20.29,1.78,16.53,3.17,1.34,0.00106,12.7384,-87.89,-12.67,0.0177,0.033500001,1.36,3.540777,0.058,0.047,0.0374677,0.030361757,dug out snow
3/11/2012 1:12,LaJaraSeep,JEMEZ_s603,GRAB,Grab,Surface water,6.4,5.4,-9999,69.3,3.697,0.8305,0.3414,1.185,13.07,1.67,0.95,20.86,26.74,0.725,0.00212,1.1325,2192.32,513.07,27.95,7843.91,205.77,33.74,194.3,0.63,0.71,0.0615,0.91,41.85,0.15,0.29,0.41,1.37,0.16,7.67,22.21,236.49,0.21,0.01,0.02,0.0891,0.02,5.79,131.1,342.57,33.02,133.47,32.58,5.73,38.29,6.13,34.1,7.51,21.55,2.27,20.88,2.97,0.0329,0.02,6.33,-89.4,-12.93,0.0109,0.042599998,1.5,2.628818,0.031,0.025,0.037326911,0.030102348,
3/11/2012 2:30,LaJaraUpStreamOfSeep,JEMEZ_s604,GRAB,Grab,Surface water,6.9,3.8,-9999,68.5,3.376,1.821,0.297,1.185,16.61,1.67,0.95,14.65,29.47,0.725,0.00212,1.1325,2073.26,523.13,26.77,7521.41,184.14,33.1,188,0.78,0.56,0.0615,0.52,20.64,0.14,0.33,0.48,1.79,0.08,7.07,20.38,325.1,0.15,0.01,0.02,0.0891,0.01,4.98,174.92,268.46,41.42,190.43,46.53,9.23,46.04,6.77,35.65,10.5,26.21,2.65,18.85,4.02,0.0329,0.02,8.54,-88.03,-12.86,0.0099,0.031399999,1.4,2.578028,0.073,0.057,0.040087864,0.031301483,
3/11/2012 4:00,LaJaraBelowConf,JEMEZ_s605,GRAB,Grab,Surface water,6.5,-9999,34.3,-9999,3.428,2.408,0.5344,1.185,19.07,1.67,0.95,13.91,30.22,0.725,0.00212,1.1325,2007.03,539.14,46.12,7528.81,185.56,34.03,195.79,2.29,0.79,0.0615,1.04,26.07,0.15,0.38,0.48,29.15,0.05,7.76,21.14,438.35,0.14,0.02,0.05,0.0891,0.01,5.52,257.65,393.95,67.52,269.11,60.53,10.69,61.5,10.3,65.77,12.73,43.85,5.73,29.31,6.51,0.0329,0.08,11.84,-88.85,-12.79,0.0104,0.0285,-9999,-9999,-9999,-9999,-9999,-9999,
