SiteCode,SampleCode,Sample_Date,DateTime,Gage_Ht,Temperature  (C),pH (pH),EC (uS/cm),Cl (mg/L),NO3-N (ug N/L),SO4 (mg/L),Na (mg/L),K (mg/L),Mg (mg/L),Ca (mg/L),NH4-N (ug/L),PO4 (mg/L),dissolved org C (mg/L),dissolved inorganic C (mg/L),total dissolved N (mg/L),total dissolved P (ug P/L),SiO2 (mg/L),dissolved org N (mg/L),total suspended sediment (mg/L)
QS,100010001,1/6/1983,1/6/1983 0:00,3.9,-9999,7.15,37.8,4.9,40,1.67,3.9,0.22,1.24,1.76,5.1,-9999,-9999,-9999,-9999,-9999,3.4,-9999,-9999
QT,100020001,5/24/1983,5/24/1983 0:00,-9999,-9999,7.64,80.8,7.5,40,1.29,6.51,0.28,4.05,5.23,2.5,-9999,-9999,-9999,-9999,-9999,19.3,-9999,-9999
RI,100030001,5/24/1983,5/24/1983 0:00,1.04,-9999,6.67,37.5,3.5,60,-9999,3.38,0.41,0.76,1.65,7.5,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999
QS,100010002,6/3/1983,6/3/1983 0:00,2.54,-9999,7.63,52.8,6,64,0.97,4.96,0.23,1.97,2.76,6.7,-9999,-9999,-9999,-9999,-9999,7.8,-9999,0.6
RI,100030002,6/3/1983,6/3/1983 0:00,1.04,-9999,7.01,65.7,5.3,75,-9999,5.68,0.56,1.62,3.93,2.5,-9999,-9999,-9999,-9999,-9999,14.8,-9999,1.2
QT,100020002,6/3/1983,6/3/1983 0:00,1.22,-9999,7.99,114.9,7.7,70,1.4,8.09,0.29,5.67,7.13,2.5,-9999,-9999,7,-9999,-9999,23.4,-9999,2
QT,100020003,6/8/1983,6/8/1983 0:00,1.23,-9999,8.02,118,-9999,80,-9999,8.4,0.31,6.37,7.2,22.9,-9999,-9999,-9999,-9999,-9999,23.1,-9999,4.1
QS,100010003,6/8/1983,6/8/1983 0:00,2.66,-9999,7.51,48.8,5.8,40,1.35,4.61,0.26,1.71,2.44,15.2,-9999,-9999,-9999,-9999,-9999,7.6,-9999,0.2
RI,100030003,6/8/1983,6/8/1983 0:00,1.05,-9999,6.93,63.2,5.4,80,-9999,5.44,0.57,1.6,-9999,10.8,-9999,-9999,-9999,-9999,-9999,9.9,-9999,1
QS,100010004,6/13/1983,6/13/1983 9:23,2.55,21,7.66,55.1,6,70,1.27,4.92,0.28,1.9,2.68,27.3,-9999,-9999,-9999,-9999,-9999,9.2,-9999,3.6
QT,100020004,6/13/1983,6/13/1983 0:00,1.27,22,7.96,113.8,7.7,90,-9999,8.57,0.3,5.68,7.58,13.1,-9999,-9999,-9999,-9999,-9999,21.7,-9999,6
RI,100030004,6/13/1983,6/13/1983 0:00,-9999,20.9,7.01,56.8,5.3,80,-9999,5.26,0.55,1.25,-9999,12.4,-9999,-9999,-9999,-9999,-9999,14.6,-9999,12.8
QT,100020005,6/16/1983,6/16/1983 0:00,1.38,22.9,7.45,64.8,6.7,90,-9999,5.35,0.29,2.85,3.8,34.5,-9999,-9999,-9999,-9999,-9999,14.6,-9999,14.5
RI,100030005,6/16/1983,6/16/1983 0:00,2.1,21,6.12,26,3.4,85,-9999,2.74,0.43,0.44,1.01,39.2,-9999,-9999,-9999,-9999,-9999,0.3,-9999,226
QS,100010005,6/16/1983,6/16/1983 9:15,4.5,21.7,6.96,34.2,4.2,40,0.51,3.22,0.23,-9999,1.09,32,-9999,5.26,-9999,-9999,-9999,0.5,-9999,10.8
RI,100030006,6/20/1983,6/20/1983 0:00,1.08,20,6.72,59.9,5.5,81,-9999,5.29,0.55,1.56,3.53,20.6,-9999,-9999,-9999,-9999,-9999,13.7,-9999,1.6
QT,100020006,6/20/1983,6/20/1983 0:00,1.28,22,7.57,89.5,7.9,41,0.44,7.06,0.35,4.44,5.54,12.1,-9999,-9999,-9999,-9999,-9999,20.2,-9999,5.7
QS,100010006,6/20/1983,6/20/1983 11:27,2.74,21,7.54,47,6,42,0.81,4.66,0.23,1.74,2.11,13.8,-9999,-9999,-9999,-9999,-9999,10.8,-9999,0.9
QT,100020007,6/27/1983,6/27/1983 0:00,1.27,23,7.84,100,7.7,62,-9999,7.58,0.36,-9999,6.43,19.9,-9999,-9999,-9999,-9999,-9999,23.5,-9999,7.7
RI,100030007,6/27/1983,6/27/1983 0:00,1.17,22,7.05,60,5.5,82,-9999,5.54,0.61,1.69,3.82,19.1,-9999,1.49,-9999,-9999,-9999,20,-9999,20.8
QS,100010007,6/27/1983,6/27/1983 12:20,2.94,22,7.84,58,6.2,44,0.05,4.71,0.26,1.69,2.47,18.2,-9999,-9999,-9999,-9999,-9999,11.2,-9999,2.2
QT,100020008,7/5/1983,7/5/1983 0:00,1.38,21.5,7.83,72.2,7.1,54,0.68,5.4,0.26,2.91,3.84,28,-9999,1.66,2.1,-9999,-9999,16.3,-9999,11.5
RI,100030008,7/5/1983,7/5/1983 0:00,1.26,20.5,7.12,43,4.7,72,-9999,3.87,0.45,0.95,2.24,28.4,-9999,3.29,1.5,-9999,-9999,8.7,-9999,9
QS,100010008,7/5/1983,7/5/1983 12:35,4.08,21,8.17,36.8,5.1,33,0.84,3.35,0.23,1.13,1.49,15.2,-9999,3.04,0.9,-9999,-9999,4.6,-9999,6.1
QS,100010009,7/11/1983,7/11/1983 9:15,2.76,21,7.93,48.2,6.6,51,0.55,4.81,0.24,1.69,2.39,13.1,-9999,1.1,2.85,-9999,-9999,12.4,-9999,0.1
QT,100020009,7/11/1983,7/11/1983 0:00,1.3,22,7.7,86,7.8,47,-9999,7.27,0.27,4.5,7.11,11.6,-9999,0.73,7.9,-9999,-9999,21.8,-9999,2.5
RI,100030009,7/11/1983,7/11/1983 0:00,1.1,21,7.03,52.1,5.5,69,-9999,5.51,0.51,1.59,3.59,16.5,-9999,0.6,5.5,-9999,-9999,21.4,-9999,0.7
QT,100020010,7/21/1983,7/21/1983 0:00,1.26,-9999,7.6,107,8.1,54,1.12,7.75,0.3,4.81,6.47,16,-9999,0.83,7.75,-9999,-9999,24.3,-9999,6.5
RI,100030010,7/21/1983,7/21/1983 0:00,1.08,-9999,7.14,61,5.7,67,-9999,5.51,0.54,1.53,3.78,18.9,-9999,0.89,5.15,-9999,-9999,21.5,-9999,1.8
QS,100010010,7/21/1983,7/21/1983 10:20,2.72,-9999,8.04,55,6.3,36,1.53,3.56,0.25,1.62,2.31,14.6,-9999,1.93,2.25,-9999,-9999,10.1,-9999,0.1
QT,100020011,7/26/1983,7/26/1983 0:00,1.25,22.7,7.9,112,8,69,1.29,7.91,0.31,5.22,6.55,-9999,-9999,0.82,7.85,-9999,-9999,25,-9999,3
QS,100010011,7/26/1983,7/26/1983 9:05,2.59,21.9,8,55,6.4,49,0.85,4.8,0.26,1.85,2.44,-9999,-9999,1.53,2.25,-9999,-9999,11.8,-9999,0
RI,100030011,7/26/1983,7/26/1983 0:00,1.06,21,7.16,63.5,5.7,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.65,5.95,-9999,-9999,22.1,-9999,0.9
QS,100010012,8/1/1983,8/1/1983 9:45,3.39,21,8.23,49.9,6,110,0.67,4.37,0.26,1.54,2.23,48.7,-9999,1.64,2.25,-9999,-9999,11.1,-9999,2.3
RI,100030012,8/1/1983,8/1/1983 0:00,1.4,21,7.02,50,5.4,73,-9999,4.74,0.5,1.16,3.04,25.3,-9999,2.99,3.9,-9999,-9999,6.9,-9999,36.9
QT,100020012,8/1/1983,8/1/1983 0:00,1.28,22,7.65,105.8,8,55,-9999,7.8,0.3,5.92,6.66,73.3,-9999,1.46,5.2,-9999,-9999,24.1,-9999,4.9
QT,100020013,8/8/1983,8/8/1983 0:00,1.28,21,7.98,106,8,-9999,0.8,7.69,0.28,5.2,6.64,7.6,-9999,0.94,9.3,-9999,-9999,24.7,-9999,3.3
RI,100030013,8/8/1983,8/8/1983 0:00,1.06,21,7.2,60,5.7,77,-9999,5.63,0.56,1.67,3.94,32.5,-9999,0.68,5,-9999,-9999,15.7,-9999,2.1
QS,100010013,8/8/1983,8/8/1983 9:10,2.6,21,8.05,48,6.3,51,0.98,4.72,0.26,1.91,2.54,20.6,-9999,1.68,3.92,-9999,-9999,12.1,-9999,1
RI,100030014,8/15/1983,8/15/1983 0:00,1.06,21,7.37,63,5.6,71,-9999,5.55,0.52,1.88,3.87,24.5,-9999,0.62,5.47,-9999,-9999,12.8,-9999,8.4
QT,100020014,8/15/1983,8/15/1983 0:00,1.24,22,7.9,112,8.1,87,-9999,8.18,0.29,5.8,6.87,29.4,-9999,0.76,10.13,-9999,-9999,25.8,-9999,8.7
QS,100010014,8/15/1983,8/15/1983 8:55,2.52,21.8,8.39,59.2,6.4,54,0.85,4.87,0.25,1.79,2.78,21.3,-9999,1.31,3.07,-9999,-9999,12.6,-9999,0.9
QS,100010015,8/18/1983,8/18/1983 9:30,3,21.5,7.44,45,5.5,35,-9999,3.99,0.24,1.38,2.1,13.2,-9999,-9999,2.3,-9999,-9999,8.6,-9999,2.3
RI,100030015,8/18/1983,8/18/1983 0:00,1.12,21,6.97,50.5,5.1,75,-9999,4.79,0.49,1.4,3.02,15.7,-9999,-9999,5.07,-9999,-9999,17.3,-9999,3.7
QT,100020015,8/18/1983,8/18/1983 0:00,1.27,22,-9999,90,7.2,70,1.05,7.19,0.28,5.44,6.02,2.5,-9999,-9999,7.59,-9999,-9999,23.4,-9999,3.8
QT,100020016,8/22/1983,8/22/1983 0:00,1.39,22.5,7.94,90,6.9,56,0.48,5.7,0.26,3.28,4.03,17.6,-9999,2.16,4.47,-9999,-9999,16.5,-9999,11.2
QS,100010016,8/22/1983,8/22/1983 9:20,4.05,21.2,7.71,40.5,5.1,37,0.5,3.65,0.18,1.18,1.7,30,-9999,2.82,1.5,-9999,-9999,7.2,-9999,3.6
RI,100030016,8/22/1983,8/22/1983 0:00,1.2,22,6.95,47.9,4.9,80,-9999,4.48,0.5,1.13,2.63,19.4,-9999,1.67,4.13,-9999,-9999,15.9,-9999,7
QT,100020017,8/29/1983,8/29/1983 0:00,1.33,21.9,7.74,84,7.1,58,0.72,6.71,0.24,4.05,5.33,24.8,-9999,1.28,6.27,-9999,-9999,20.9,-9999,1.9
RI,100030017,8/29/1983,8/29/1983 0:00,2.24,21,7.05,42.5,3.4,71,-9999,3.55,0.42,0.98,2.06,59.9,-9999,3,3,-9999,-9999,10.8,-9999,16.3
QS,100010017,8/29/1983,8/29/1983 9:10,3.6,21,8.04,40,4.3,28,0.47,3.69,0.18,1.24,1.63,18.5,-9999,3.06,1.33,-9999,-9999,7.7,-9999,4.8
QT,100020018,9/6/1983,9/6/1983 0:00,1.27,22,7.74,104,7.6,66,-9999,7.7,0.25,5.65,6.27,2.5,-9999,-9999,7.47,-9999,-9999,24.5,-9999,3.2
RI,100030018,9/6/1983,9/6/1983 0:00,1.1,21,7.14,62,5.2,71,-9999,5.49,0.53,1.19,3.8,16.3,-9999,3.52,4.33,-9999,-9999,21.8,-9999,1.7
QS,100010018,9/6/1983,9/6/1983 8:55,2.63,21.2,7.97,56,6,56,1.43,4.79,0.24,1.89,2.78,9.9,-9999,2.99,2.53,-9999,-9999,12.4,-9999,1.1
QT,100020019,9/12/1983,9/12/1983 0:00,1.26,22.2,7.74,110,7.9,81,1.36,8.09,0.29,5.32,6.67,5.5,-9999,0.85,8.03,-9999,-9999,25.2,-9999,3.93
QS,100010019,9/12/1983,9/12/1983 8:50,2.9,21.9,7.83,57,6,55,-9999,4.72,0.25,2.1,2.48,10,-9999,1.71,2.2,-9999,-9999,11.8,-9999,1.96
RI,100030019,9/12/1983,9/12/1983 0:00,1.1,21,7.03,63,4.7,76,-9999,5.64,0.57,1.7,3.87,21.3,-9999,1.08,4.8,-9999,-9999,22.1,-9999,4.1
RI,100030020,9/19/1983,9/19/1983 0:00,1.12,21,7.36,55,5.9,71,-9999,5.03,0.53,1.5,3.58,24.2,-9999,3.13,3.47,-9999,-9999,16.4,-9999,6.75
QT,100020020,9/19/1983,9/19/1983 0:00,1.27,22.9,8.19,90,7,77,0.98,7.11,0.28,5.19,6.19,6.3,-9999,1.79,7.68,-9999,-9999,23.1,-9999,5.95
QS,100010020,9/19/1983,9/19/1983 9:00,2.94,21.9,7.81,52,5.8,57,1.04,4.35,0.24,1.64,2.3,12.3,-9999,2.79,2.13,-9999,-9999,9.7,-9999,2.3
QT,100020021,9/26/1983,9/26/1983 0:00,1.28,22,8.18,94.8,8.6,70,0.73,7.12,0.28,4.65,6.05,2.5,-9999,1.41,7.68,-9999,-9999,21.3,-9999,7.31
RI,100030021,9/26/1983,9/26/1983 0:00,1.08,21,7.29,57.5,6.4,80,-9999,5.15,0.54,1.52,3.51,14,-9999,1.48,4.74,-9999,-9999,19.8,-9999,1.6
QS,100010021,9/26/1983,9/26/1983 9:20,2.76,21,7.87,50.1,6.7,40,-9999,4.29,0.23,1.74,2.31,8.6,-9999,2.53,2.2,-9999,-9999,10,-9999,1.02
QS,100010022,10/3/1983,10/3/1983 8:40,2.56,21,8.64,46,7.2,65,0.77,4.55,0.25,1.93,2.58,6.8,-9999,1.65,2.56,-9999,-9999,11.8,-9999,1.18
QT,100020022,10/3/1983,10/3/1983 0:00,1.25,21.8,7.98,103,9.3,102,1.2,7.67,0.29,-9999,7.03,12.6,-9999,1.19,9.2,-9999,-9999,23.9,-9999,5.36
RI,100030022,10/3/1983,10/3/1983 0:00,1.08,21,7.5,65,6.7,76,-9999,5.66,0.54,1.69,4.21,10.9,-9999,0.89,4.56,-9999,-9999,21.3,-9999,1.73
QS,100010023,10/10/1983,10/10/1983 9:20,2.76,21,8.16,49,6.7,50,0.64,4.25,0.24,1.61,2.3,2.5,-9999,-9999,1.84,-9999,-9999,10.2,-9999,1.02
QT,100020023,10/10/1983,10/10/1983 0:00,1.24,21,8.21,87,8.9,91,1.38,7.22,0.29,5.48,6.78,7.4,-9999,-9999,9.12,-9999,-9999,23,-9999,3.97
RI,100030023,10/10/1983,10/10/1983 0:00,1.04,21,7.61,59,6.5,78,-9999,5.39,0.57,1.71,4,2.5,-9999,1.63,5.12,-9999,-9999,19.8,-9999,2.4
QT,100020024,10/17/1983,10/17/1983 0:00,1.34,22,7.64,88,7.8,70,0.82,6.75,0.3,4.78,6.26,11.3,-9999,2.49,7.6,-9999,-9999,20.4,-9999,18.8
QS,100010024,10/17/1983,10/17/1983 8:58,3.86,21,7.87,47,6.3,41,0.87,4.21,0.26,1.61,2.29,25.7,-9999,3.74,1.92,-9999,-9999,9.7,-9999,8.37
RI,100030024,10/17/1983,10/17/1983 0:00,1.08,20,7.25,64,6.6,70,-9999,5.68,0.58,1.74,4.14,6.5,-9999,0.74,5.44,-9999,-9999,21.4,-9999,0.2
RI,100030025,10/24/1983,10/24/1983 0:00,1.04,20,7.23,61,6.3,77,-9999,5.42,0.57,1.71,3.97,11.8,-9999,1.41,5.21,-9999,-9999,20.5,-9999,1.53
QT,100020025,10/24/1983,10/24/1983 0:00,1.26,22,7.81,98,9.1,72,0.83,7.55,0.28,5.12,6.75,9.4,-9999,1.46,8.11,-9999,-9999,22.5,-9999,2.54
QS,100010025,10/24/1983,10/24/1983 9:10,2.58,21,7.7,55,7,70,0.91,4.67,0.26,1.89,2.69,10.7,-9999,1.44,2.85,-9999,-9999,12.6,-9999,0.62
QS,100010026,10/31/1983,10/31/1983 8:45,3.3,21,8.28,35,5.4,37,0.65,3.63,0.24,1.2,1.76,9.5,-9999,3.33,1.4,-9999,-9999,-9999,-9999,3.53
RI,100030026,10/31/1983,10/31/1983 0:00,1.12,21,7.15,44.5,5.2,85,-9999,4.03,0.49,1.21,2.38,7.8,-9999,2.53,3.73,-9999,-9999,9.6,-9999,6.7
QT,100020026,10/31/1983,10/31/1983 0:00,1.34,20.5,8.13,70,7.5,78,0.63,5.6,0.27,3.34,4.48,13.8,-9999,2.34,5.06,-9999,-9999,18,-9999,15.7
RI,100030027,11/7/1983,11/7/1983 0:00,1.1,20,6.88,47.2,5.7,83,-9999,4.69,0.5,1.24,2.95,5,-9999,2.68,4.19,-9999,-9999,18.3,-9999,2.67
QT,100020027,11/7/1983,11/7/1983 0:00,1.32,21,7.67,81,8.7,55,0.05,6.65,0.29,4.17,5.03,6.4,-9999,1.37,5.68,-9999,-9999,21,-9999,9
QS,100010027,11/7/1983,11/7/1983 9:31,2.92,21,7.72,43,6.2,47,0.67,4,0.27,1.49,2.17,9.5,-9999,2.02,2.07,-9999,-9999,10.1,-9999,1.19
QS,100010028,11/14/1983,11/14/1983 10:05,2.56,20.9,8.03,57,7.5,76,-9999,4.86,0.24,1.64,-9999,2.5,-9999,1.07,2.6,-9999,-9999,13.6,-9999,0.63
RI,100030028,11/14/1983,11/14/1983 0:00,1.04,19,7.34,60,6.5,75,-9999,5.68,0.55,1.63,3.9,2.5,-9999,0.66,5.67,-9999,-9999,20,-9999,1.15
QT,100020028,11/14/1983,11/14/1983 0:00,1.27,21,7.92,98,9.3,61,0.76,7.65,0.28,4.98,6.41,2.5,-9999,0.87,7.53,-9999,-9999,25,-9999,3.93
RI,100030029,11/21/1983,11/21/1983 0:00,1.03,20,7.53,65.9,6.5,75,-9999,5.69,0.57,1.64,4.07,7.7,-9999,0.71,5.55,-9999,-9999,24.3,-9999,1.23
QS,100010029,11/21/1983,11/21/1983 9:55,2.46,21,7.95,57,7.5,85,0.8,5.03,0.27,1.86,3.01,2.5,-9999,1.36,2.87,-9999,-9999,14.1,-9999,0
QT,100020029,11/21/1983,11/21/1983 0:00,1.26,21.9,7.59,110.9,9.4,78,-9999,8.01,0.27,-9999,6.5,2.5,-9999,0.78,11.09,-9999,-9999,26.2,-9999,2.72
RI,100030030,11/28/1983,11/28/1983 0:00,1.02,20,7.49,66.2,6.8,77,0.97,5.79,0.56,1.7,3.63,2.5,-9999,0.9,4.03,-9999,3.6,25,-9999,0.55
QT,100020030,11/28/1983,11/28/1983 0:00,1.24,21,7.91,114,9.5,90,0.68,7.34,0.28,6.55,7.26,2.5,-9999,1.34,7.5,-9999,2.3,26.7,-9999,4.4
QS,100010030,11/28/1983,11/28/1983 9:53,2.42,20.9,8.05,61,7.6,77,1.06,5,0.26,2.27,2.99,2.5,-9999,1.64,2.06,-9999,3.2,13.8,-9999,0.41
QT,100020031,12/5/1983,12/5/1983 0:00,1.26,21,7.73,96,9.2,52,-9999,7.42,0.32,6.07,6.09,13.8,-9999,1.32,8.71,-9999,2.2,24.3,-9999,2.57
QS,100010031,12/5/1983,12/5/1983 9:40,3.1,20.5,7.73,48,6.9,60,0.76,4.36,0.26,1.93,2.23,17.8,-9999,1.92,2.39,-9999,3.6,12.1,-9999,0.88
RI,100030031,12/5/1983,12/5/1983 0:00,1.02,20,7.92,57.5,6.5,78,-9999,5.47,0.6,1.46,4.12,2.5,-9999,0.81,5.68,-9999,2.2,23.7,-9999,0.55
RI,100030032,12/12/1983,12/12/1983 0:00,1.04,19,7.41,56,6.4,75,-9999,4.88,0.58,1.59,3.49,49.7,-9999,1.91,4.6,-9999,1.8,18.3,-9999,2.27
QT,100020032,12/12/1983,12/12/1983 0:00,1.28,20.9,8.4,96,9,42,0.58,6.96,0.28,6.57,6.01,9.3,-9999,1.44,8.4,-9999,1.1,22.7,-9999,1.1
QS,100010032,12/12/1983,12/12/1983 9:47,3.3,20,8.14,46,6.6,41,1.54,4.03,0.26,1.69,2.21,7.4,-9999,2.79,2.5,-9999,1.5,9.2,-9999,1.33
QS,100010033,12/19/1983,12/19/1983 10:12,3.41,21,7.41,47.1,7.2,45,0.95,4.06,0.28,1.69,2.43,19.9,-9999,2.83,2.3,-9999,1.1,8.4,-9999,1.46
QT,100020033,12/19/1983,12/19/1983 0:00,1.28,20.9,7.45,115,8.8,51,-9999,7.08,0.25,8.06,6.45,21,-9999,1.46,8.4,-9999,-9999,23.4,-9999,2.57
RI,100030033,12/19/1983,12/19/1983 0:00,1.1,20,7.06,53,6.1,78,-9999,4.69,0.53,1.33,3.23,43.1,-9999,2.68,1.41,-9999,1.5,16.2,-9999,4.3
QT,100020034,12/27/1983,12/27/1983 0:00,1.26,21,7.67,104.1,9,71,1.05,7.79,0.3,6.91,7.19,16,-9999,1.07,10.47,-9999,-9999,25.2,-9999,2.8
RI,100030034,12/27/1983,12/27/1983 0:00,1.02,20,6.88,65.5,6.4,70,-9999,5.68,0.58,1.64,3.85,14,-9999,0.88,7.94,-9999,4.7,15.5,-9999,1.35
QS,100010034,12/27/1983,12/27/1983 11:05,3.16,21,7.64,55,6.9,58,0.85,4.48,0.26,1.51,2.67,2.5,-9999,1.48,2.87,-9999,1.5,12,-9999,1.04
RI,100030035,1/3/1984,1/3/1984 0:00,1.04,18,6.43,63,6.3,74,-9999,5.44,0.59,1.63,4.01,21.9,-9999,0.82,4.34,-9999,3.9,22.5,-9999,0.91
QS,100010035,1/3/1984,1/3/1984 9:50,3,18.8,7.46,51,6.9,57,1.24,4.48,0.25,1.74,2.47,11.8,-9999,1.98,1.41,-9999,3.9,11.3,-9999,0.62
QT,100020035,1/3/1984,1/3/1984 0:00,1.26,19,7.47,106.9,8.9,65,-9999,7.39,0.27,5.75,6.87,12.6,-9999,1.45,6.4,-9999,3.9,24.2,-9999,2.64
RI,100030036,1/9/1984,1/9/1984 0:00,1.08,19,7.35,64,5.8,74,-9999,5.12,0.59,1.35,3.9,28.4,-9999,1,5.13,-9999,2.9,23.1,-9999,4.25
QT,100020036,1/9/1984,1/9/1984 0:00,1.26,20.9,7.56,110,8.8,98,-9999,7.42,0.31,5.52,6.89,2.5,-9999,1.37,9.27,-9999,-9999,24.4,-9999,7.4
QS,100010036,1/9/1984,1/9/1984 9:50,2.92,21,7.72,56,7.1,69,1.09,4.75,0.29,2.19,2.83,2.5,-9999,1.75,2.47,-9999,5.5,12.5,-9999,1.06
QS,100010037,1/16/1984,1/16/1984 9:30,3.75,20,7.78,43.5,6.5,33,-9999,3.89,0.21,1.52,1.92,2.5,-9999,3.19,1.34,-9999,1.5,7.2,-9999,3.35
RI,100030037,1/16/1984,1/16/1984 0:00,1.18,20,6.87,47.1,6.5,69,-9999,4.23,0.48,1.1,2.52,30.3,-9999,3.74,3,-9999,3.2,10.8,-9999,7
QT,100020037,1/16/1984,1/16/1984 0:00,1.28,20.9,7.5,103,8.8,55,-9999,7.2,0.31,-9999,6.35,-9999,-9999,1.18,9.21,-9999,2.5,23.5,-9999,4.7
QS,100010040,1/19/1984,1/19/1984 0:00,3.28,20,7.43,47,7.2,45,-9999,4.26,0.23,1.49,2.56,2.5,-9999,1.67,2.13,-9999,-9999,9.9,-9999,-9999
QT,100020042,1/19/1984,1/19/1984 0:00,1.27,20.5,7.68,110,9.7,65,-9999,7.66,0.31,4.67,7.38,2.5,-9999,1.57,9.41,-9999,-9999,24.6,-9999,-9999
QS,100010042,1/19/1984,1/19/1984 0:00,3.36,19.5,7.73,50,7.4,44,-9999,4.37,0.24,1.53,2.49,2.5,-9999,1.73,2,-9999,-9999,10,-9999,-9999
QT,100020038,1/19/1984,1/19/1984 0:00,1.25,20.9,7.65,104,9,65,-9999,7.69,0.28,4.69,7.3,2.5,-9999,0.98,9.34,-9999,-9999,25,-9999,-9999
QT,100020039,1/19/1984,1/19/1984 0:00,1.25,20,7.65,110,9,66,-9999,7.68,0.28,4.64,7.37,2.5,-9999,0.84,9.34,-9999,-9999,25.1,-9999,-9999
QS,100010038,1/19/1984,1/19/1984 9:20,3.32,19.5,7.54,45,7.2,45,-9999,4.3,0.23,1.43,2.42,8.2,-9999,1.91,2,-9999,-9999,9.6,-9999,-9999
QT,100020041,1/19/1984,1/19/1984 0:00,1.26,20.5,7.69,104,9.6,68,-9999,7.82,0.31,4.64,7.72,5.2,-9999,1.1,9.14,-9999,-9999,24.5,-9999,-9999
QS,100010041,1/19/1984,1/19/1984 0:00,3.28,19.5,7.8,46,7.3,45,-9999,4.35,0.25,1.51,2.47,2.5,-9999,1.58,2.07,-9999,-9999,10,-9999,-9999
QT,100020040,1/19/1984,1/19/1984 0:00,1.25,21,7.78,112,9.1,68,-9999,7.67,0.27,4.65,7.37,2.5,-9999,0.82,11.34,-9999,-9999,25.2,-9999,-9999
QS,100010039,1/19/1984,1/19/1984 0:00,3.28,19.5,7.16,45,7.2,44,-9999,4.3,0.23,1.46,2.47,11.9,-9999,1.6,2,-9999,-9999,9.7,-9999,-9999
QT,100020044,1/20/1984,1/20/1984 0:00,1.26,20.5,7.71,110,9.5,59,-9999,7.71,0.29,4.67,7.42,5.2,-9999,1.23,8,-9999,-9999,24.8,-9999,-9999
QT,100020043,1/20/1984,1/20/1984 0:00,1.27,20,7.62,107,9.6,60,-9999,7.56,0.3,4.57,7.3,2.5,-9999,1.34,9.54,-9999,-9999,24.7,-9999,-9999
QT,100020045,1/20/1984,1/20/1984 0:00,1.26,20,7.7,104,9.4,60,-9999,7.63,0.29,4.54,7.49,6.7,-9999,1.39,8.54,-9999,-9999,24.9,-9999,-9999
QT,100020046,1/20/1984,1/20/1984 0:00,1.26,20.9,7.77,104,9.4,61,-9999,7.82,0.28,4.6,7.38,5.2,-9999,1.08,8.8,-9999,-9999,24.9,-9999,-9999
QS,100010043,1/20/1984,1/20/1984 0:00,3.76,19,7.44,47,7.4,46,-9999,4.16,0.25,1.42,2.42,2.5,-9999,1.87,1.74,-9999,-9999,9.6,-9999,-9999
QS,100010044,1/20/1984,1/20/1984 0:00,3.66,19,7.54,49.5,7.6,43,-9999,4.21,0.23,1.41,2.31,2.5,-9999,1.53,1.47,-9999,-9999,9.1,-9999,-9999
QS,100010045,1/20/1984,1/20/1984 0:00,3.54,19,7.75,47,7.7,44,-9999,4.4,0.27,1.44,2.58,8.6,-9999,2.02,1.54,-9999,-9999,9.1,-9999,-9999
QS,100010046,1/20/1984,1/20/1984 0:00,3.47,19.5,7.45,50,7.7,42,-9999,4.2,0.23,1.45,2.51,5.4,-9999,2.27,1.6,-9999,-9999,9.2,-9999,-9999
RI,100030038,1/23/1984,1/23/1984 0:00,1.48,19,7.01,49,7.8,55,-9999,4.44,0.58,1.39,2.47,20.6,-9999,3.83,2.27,-9999,3.6,9.5,-9999,70.6
QT,100020047,1/23/1984,1/23/1984 0:00,1.32,20.9,7.54,96,9.2,52,-9999,6.99,0.3,4.98,6.13,24.5,-9999,2.26,8.07,-9999,3.9,20.9,-9999,15.5
QS,100010047,1/23/1984,1/23/1984 0:00,4.37,17.9,7.2,44,7.6,42,-9999,4.43,0.26,1.38,2.35,11.5,-9999,2.56,2.07,-9999,1.8,9.5,-9999,15.2
QT,100020048,1/30/1984,1/30/1984 0:00,1.24,21,7.5,112,9.1,77,-9999,8.03,0.29,6.26,6.99,2.5,-9999,1.71,10,-9999,3.3,24.1,-9999,5.37
RI,100030039,1/30/1984,1/30/1984 0:00,1.06,19,7.02,63,6.4,75,-9999,5.6,0.57,1.84,4.03,6.3,-9999,0.77,6,-9999,2.5,22.1,-9999,2.33
QS,100010048,1/30/1984,1/30/1984 10:10,3.14,19,7.51,54,7.6,59,-9999,4.59,0.25,1.81,2.6,2.5,-9999,1,2.74,-9999,2.5,11.4,-9999,0.95
QT,100020049,2/7/1984,2/7/1984 0:00,1.28,21,7.46,110,9,63,-9999,7.34,0.3,4.63,7.37,2.5,-9999,1.18,9.21,-9999,4.3,23.7,-9999,7.82
QS,100010049,2/7/1984,2/7/1984 12:20,3.8,20.5,7.55,49.5,7.4,33,0.27,4.13,0.24,1.36,2.3,2.5,-9999,2.31,1.27,-9999,3.2,7.8,-9999,3.06
RI,100030040,2/7/1984,2/7/1984 0:00,1.26,19,6.82,51.5,6.7,60,-9999,4.74,0.53,1.1,3.13,2.5,-9999,2.58,3,-9999,3.2,13.7,-9999,16.5
