DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,pH,EC,TIC,TOC,TN,F-,Cl-,NO2-,Br-,NO3-,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,NH4-N,Ortho-P,SamplingNote
MST,,,,,pH,uS/cm,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,(mg/L),(mg/L),
(Detection limit),,,,,,,0.000229,0.000255,0.000204,0.983,1.14,2.33,1.45,0.724,0.109,1.05,0.042,0.039,3.69,0.366,0.096,0.684,0.723,0.138,0.114,0.027,0.003,0.003,0.012,0.006,0.0014,0.003,0.006,0.045,0.015,0.057,0.012,0.342,0.003,0.000291,0.006,0.003,0.003,0.003,0.429,0.204,0.255,1.23,0.87,0.61,2.41,0.204,0.876,0.231,0.255,0.228,0.762,0.057,0.468,0.678,0.54,0.01,0.01,
(Lab Method),,,,,PH_EC1,PH_EC1,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,SmartChem200,SmartChem200,
8/25/2011 15:30,MG_G_OUT,MG-1103,GRAB,SW,6.28,57.7,6.96,167.69,13.32,11.69,56.27,1.17,0.72,0.36,27.61,0.53,0.02,11.38,"4,833",715,251.86,"5,137.89",26.29,"1,218","3,259",2.49,1.37,0.23,8.68,155.18,0.01,7.8,6.3,33.75,0.49,0.25,36.37,971.16,0.9,0,0.51,0.85,0.15,5.85,458.38,"1,450.70",153.13,63.47,200.48,34.45,192.42,32.94,180.33,34.25,106.79,16.12,105.78,13.3,0.23,0.21,98.22,-9999,-9999,1095
8/25/2011 14:07,MG_S_OUT,MG-1105,GRAB,SW,7.4,102.8,16.49,9.54,0.52,13.2,51.58,1.17,0.72,0.36,27.19,0.53,0.02,9.53,"7,077","2,103",42.87,"6,601.44",36.69,"1,449","7,942",0.89,1.61,0.04,3.19,76.89,0.01,1.95,8.85,7.88,0.33,0.12,62.09,242.28,6.19,0,0.11,0.79,0.04,10.99,74.25,212.85,26.68,31,43.16,6.95,41.88,7.12,46.3,10.3,31.29,5.28,28.45,3.98,0.23,0.09,102.01,-9999,-9999,1216
8/25/2011 15:51,MG_WEIR,MG-1111,GRAB,SW,7.09,108.9,16.61,9.66,0.72,20.08,62.82,1.17,0.72,0.36,45.32,0.53,0.02,9.53,"8,513","2,480",35.83,"6,463.48",28.8,"2,084","8,771",0.76,2.04,0.14,1.63,42.35,0.02,2.47,7.82,9.05,0.36,1.69,60.32,255.93,10.44,0,0.19,0.67,0.03,10.94,73.47,122.44,24.69,119.43,41.05,8.59,33.92,6.41,38.54,8.62,26.3,4.31,26.6,4.97,0.23,0.01,157.57,-9999,-9999,1989
8/29/2011 9:53,MG_G_OUT,MG-1115,GRAB,SW,6.05,63.4,7.04,14.04,1.59,32.33,90.71,1.17,0.72,0.36,29.33,0.53,0.02,11.32,"6,631",827,200.18,"5,682.02",27.5,"2,043","3,566",2.28,1.27,0.31,13.35,145.57,0.04,14.56,12.74,110.2,0.45,0.37,40.95,727.95,1.04,0,4.33,0.81,0.27,7.27,320.5,"1,122.25",113.24,23.25,141.54,26.39,144.58,26.89,149.63,25.48,78.66,14.66,74.92,13.85,0.23,0.32,73.7,-9999,-9999,1096
8/29/2011 10:54,MG_S_OUT,MG-1116,GRAB,SW,7.44,103.2,18.48,8.22,0.43,15.94,55.36,1.17,0.72,0.36,25.31,0.53,0.02,9.72,"8,774","2,490",35.23,"6,569.49",29.05,"1,658","9,617",0.58,1.58,0.13,2.3,73.37,0.02,1.91,7.1,9.58,0.32,0.32,64.99,238.89,6.47,0,0.08,0.64,0.01,11.94,61.24,183.22,23.69,56.79,38.47,9.06,36.44,5.78,38.57,9.44,30.37,7.04,21.76,5.13,0.23,0.03,85.84,-9999,-9999,1217
9/1/2011 14:32,MG_S_OUT,MG-1118,GRAB,SW,7.09,104.6,18.3,8.86,1.17,14.66,73.32,1.17,0.72,0.36,23.93,0.53,0.02,8.86,"9,728","2,645",25.09,"6,449.50",18.54,"2,437","10,186",0.67,1.58,0.28,0.79,58.94,0.05,5.84,13.2,29.73,0.29,0.44,64.09,194.49,7.06,0,0.77,0.64,0.19,11.99,45.65,152.17,18.54,16.63,28.52,8.96,22.27,5.73,28.52,6.45,24.59,3.79,21.36,3.13,0.23,0.16,73.97,-9999,-9999,1218
9/5/2011 12:30,MG_S_OUT,MG-1120,GRAB,SW,7.23,110.1,17.6,7.81,0.49,12.5,61.58,1.17,0.72,0.36,23.52,0.53,0.02,8.12,"10,625","2,574",28.39,"6,431.08",28.59,"2,903","10,664",0.64,1.25,2.27,2.26,76.24,0,3.03,6.83,7.62,0.29,0.04,65.21,168.55,7.22,0,0,0.6,0.01,12.34,38.23,136.45,15.15,4.55,20.57,6.38,18.86,2.95,26.89,6.13,16.15,3.19,18.46,3.8,0.23,0.06,75.15,-9999,-9999,1219
9/8/2011 15:11,MG_WEIR,MG-1123,GRAB,SW,6.39,88.5,14.89,9.15,0.53,17.72,63.04,1.17,0.72,0.36,43.74,0.53,0.02,7.96,"9,330","2,871",34.2,"6,348.91",31.09,"2,492","9,808",0.96,1.56,1.88,1.77,62.48,0,3.82,6.24,15.75,0.2,0.29,60.68,192.57,10.43,0,0.15,0.52,0.01,12.14,52.26,97.39,18.76,79.94,25.98,10.83,29.59,4.07,27.18,6.93,20.66,3.44,23.87,3.56,0.23,0.03,125.37,-9999,-9999,1990
9/8/2011 14:52,MG_G_OUT,MG-1124,GRAB,SW,6.08,47.8,7.17,10.43,0.61,0.49,53.95,1.17,0.72,0.36,37.2,0.53,0.02,9.86,"6,425",880,197.11,"6,084.34",25.04,"1,002","3,412",2.13,1.2,2.1,4.61,171.2,0.02,4.55,3.22,17.6,0.43,0.47,38.82,607.43,1.03,0,0.12,0.49,0.07,7.03,299.69,955.39,97.85,43.24,131.74,22.02,123.7,18.81,120.68,21.32,58.83,9.3,64.77,10.26,0.23,0.21,57.83,-9999,-9999,1097
9/8/2011 11:53,MG_S_OUT,MG-1125,GRAB,SW,6.56,93.6,15.52,8.03,0.47,16.41,72.96,1.17,0.72,0.36,23.65,0.53,0.02,8.95,"8,208","2,262",31.19,"6,156.64",28.47,"1,626","8,809",0.5,1.54,2.21,2.35,59.98,0,4.17,6.96,16.1,0.29,0.28,62.97,164.98,6.38,0,0.12,0.5,0.05,12.68,46.58,142.85,18.41,19.11,29.07,7.31,20.42,3.91,35.01,6.53,18.01,3.94,20.52,4.4,0.23,0.03,71.93,-9999,-9999,1220
9/12/2011 16:10,MG_G_OUT,MG-1126,GRAB,SW,5.82,44.3,7.46,15.16,0.88,8.02,56.74,1.17,0.72,0.36,30.8,0.53,0.02,11.34,"5,072",628,416.63,"4,733.55",32.57,"1,094","3,167",5.09,1.59,4.79,6.88,393.17,0.1,14.67,10.17,56.72,0.5,0.44,31.2,"1,212.73",1.11,0,0.45,0.46,0.16,26.9,647.44,"2,063.59",215.16,41.08,243.52,48.22,246.46,41.57,232.77,38.83,121.27,17.51,121.27,18.48,0.23,0.54,119.32,-9999,-9999,1098
9/12/2011 17:22,MG_S_OUT,MG-1133,GRAB,SW,6.84,84.7,9.08,7.74,0.61,8.28,50.45,1.17,0.72,0.36,28.03,93.17,0.02,19.83,"6,536","1,949",53.02,"6,351.06",55.44,"1,567","8,320",1.42,0.47,0.01,2.03,98.59,0.02,1.89,9.49,8.6,0.27,0.03,60.74,336.57,5.24,0,0.04,0.51,0.04,10.92,97.63,247.82,34.12,88.18,51.52,11.38,48.07,8.31,56.94,11.64,40.11,6.14,34.46,5.08,0.23,0.04,119.87,-9999,-9999,1221
9/12/2011 17:27,MG_WEIR,MG-1135,GRAB,SW,6.71,92.1,22.35,7.9,0.58,10.04,51.19,1.17,0.72,0.36,34.46,15.8,0.02,19.45,"6,657","2,063",50.75,"6,172.40",56.73,"1,662","7,693",1.45,0.56,0,2.46,92.8,0.03,1.64,7.52,2.05,0.3,0.31,55.31,297.75,9.4,0,0,0.43,0.01,9.78,103.56,210.82,36.3,84.33,47.71,13.15,53.36,9.44,43.36,9.89,30.86,4.3,31.19,4.56,0.23,0,170.61,-9999,-9999,2000
9/15/2011 14:30,MG_S_OUT,MG-1136,GRAB,SW,6.86,73,8.44,12.03,0.71,6.48,40.89,1.17,0.72,0.36,28.59,0.53,0.02,18.64,"5,570","1,778",164.86,"5,980.13",59.59,"1,330","7,648",5.18,0.84,0.09,4.43,248.98,0.01,0.77,10.65,8.04,0.37,0.3,53.66,602.32,4.08,0,0,0.36,0.03,10.48,243.52,610.94,81.35,93.85,89.76,22.3,108.83,17.67,108.83,21.12,60.66,10.69,56.78,8.56,0.23,0.14,181.02,-9999,-9999,1222
9/15/2011 13:35,MG_G_OUT,MG-1137,GRAB,SW,6.13,42.7,3.27,15.98,0.91,0.49,33.51,1.17,0.72,0.36,23.3,0.53,0.02,20.1,"3,695",579,475.65,"4,328.11",52.07,796,"3,017",6.28,0.47,0.36,3.91,343.86,0.01,2.65,7.24,25.27,0.61,0.29,30.21,"1,362.15",0.98,0,0.57,0.45,0.14,5.75,717.32,"2,229.97",229.59,12.08,275.72,43.94,258.15,48.11,273.53,47.35,136.21,19.66,127.43,18.56,0.23,0.45,142.81,-9999,-9999,1099
9/15/2011 14:35,MG_WEIR,MG-1138,GRAB,SW,7.01,79.6,7.94,21.07,1.15,8.35,41.57,1.17,0.72,0.36,35.37,0.53,0.02,18.78,"5,895","1,894",120.19,"5,966.49",57.95,"1,544","7,406",3.42,0.74,0.05,2.35,163.83,0.02,0.78,10.3,0.77,0.35,0.28,52.37,518.31,7.04,0,0,0.32,0.04,9.48,178.14,420.66,66.1,131.99,83.6,17.6,82.2,16.42,83.92,19.96,55.59,7.36,54.08,9.18,0.23,0.05,232.86,-9999,-9999,2001
9/19/2011 14:55,MG_S_OUT,MG-1147,GRAB,SW,6.69,90.3,9.26,9.34,1.13,18.84,63.49,1.17,0.72,0.36,27.76,0.53,0.02,16.04,"6,682","1,979",48.13,"6,328.17",56.31,"2,175","8,642",1.39,0.68,0.05,2.83,79.13,0.01,9.01,13.45,50.53,0.27,0.35,60.69,277.04,6.78,0,1.2,0.38,0.32,11.56,85.01,209.28,29,64.68,42.15,12.16,39.36,6.82,46.34,9.91,28.3,4.98,33.29,5.78,0.23,0.18,105.64,-9999,-9999,1223
9/19/2011 16:15,MG_G_OUT,MG-1153,GRAB,SW,5.57,45.5,3.81,13.19,1.23,23.02,58.14,1.17,0.72,0.36,26.63,0.53,0.08,17.58,"4,482",701,323.98,"5,007.85",51.41,"1,634","3,728",3.82,0.93,0.36,6.22,235.8,0.1,15.94,7.94,55.29,0.47,0.76,35.57,"1,032.23",0.85,0,0.92,0.45,0.25,6.52,508.96,"1,625.00",163.52,3.37,193.16,32.91,221.78,34.54,202.36,38.33,102.2,17.37,105.27,15.74,0.23,0.66,109.36,-9999,-9999,1100
9/19/2011 16:35,MG_WEIR,MG-1154,GRAB,SW,6.63,86.1,8.76,7.86,0.64,14.51,48.11,1.17,0.72,0.36,42.47,0.53,0.02,15.7,"6,645","2,208",38.03,"6,328.66",56.04,"1,818","8,933",1.12,0.9,0.07,0.82,38.92,0.03,1.08,6.96,4.01,0.21,0.48,59.56,286.75,9.15,0,0.18,0.24,0.02,10.36,91.36,126.77,31.69,107.66,51.72,9.02,40.35,8.15,44.27,8.63,28.88,5.67,34.71,6.19,0.23,0.02,164,-9999,-9999,2009
9/22/2011 11:55,MG_G_OUT,MG-1156,GRAB,SW,6.16,40.9,4.16,13.21,1.29,0.49,36.84,1.17,0.72,0.36,27.41,0.53,0.04,17.64,"4,143",727,243.01,"5,116.59",52.19,788,"3,490",3.51,0.71,0.16,4.14,146.7,0.02,0.58,3.13,3.83,0.42,0.4,36.5,775.18,0.74,0,0.03,0.3,0.04,6.12,374.26,"1,199.68",123.04,46.14,146.63,25.84,154.83,26.76,144.58,27.38,84.39,11.18,83.36,10.77,0.23,0.23,81.93,-9999,-9999,1101
9/22/2011 12:55,MG_S_OUT,MG-1157,GRAB,SW,7.44,85.3,7.89,10.59,0.95,12.57,47.58,1.17,0.72,0.36,26.85,0.53,0.02,15.78,"6,511","2,045",35.78,"6,130.61",50.45,"1,503","8,655",1.22,0.89,0.01,1.68,60.25,0.04,1.78,8.07,13.07,0.33,0.63,60.6,232.16,5.27,0,0.07,0.26,0.02,9.69,65.02,150.75,21.71,59.7,34.87,8.41,33.57,6.29,35.68,7.51,24.02,4.18,33.37,5.09,0.23,0,93.06,-9999,-9999,1224
9/22/2011 13:05,MG_WEIR,MG-1158,GRAB,SW,7.05,94.3,8.77,14.98,2.72,11.74,47.72,1.17,0.72,0.36,45.76,0.53,0.02,16.3,"6,840","2,267",30.97,"6,234.83",52.57,"1,727","8,484",0.83,0.86,0,0.96,30.89,0.02,0.8,5.98,3.1,0.28,0.27,58.99,243.48,9.64,0,0.01,0.24,0.01,10.29,72.13,102.9,27.2,109.01,46.05,8.75,33.72,6.31,39.73,10.02,24.04,5.22,33.52,4.96,0.23,0.34,160.96,-9999,-9999,2010
9/26/2011 14:15,MG_WEIR,MG-1163,GRAB,SW,7.16,90.5,8.75,17.43,3.58,15.85,54.9,1.17,0.72,0.36,47.92,0.53,0.02,14.59,"7,031","2,371",26.97,"6,290.28",52.34,"1,862","9,097",0.69,0.89,0.2,1.21,23.87,0.06,3.53,5.55,5.86,0.24,0.11,62.1,221.42,9.69,0,0.04,0.21,0,10.77,68.44,94.91,25.46,119.77,34.42,10.06,34.82,5.55,38.14,10.27,22.24,4.26,31.2,4.2,0.23,0.34,141.91,-9999,-9999,2011
9/26/2011 14:10,MG_S_OUT,MG-1164,GRAB,SW,7.41,99.5,8.48,11.7,1.95,46.89,75.54,1.17,0.72,0.36,28.28,0.53,0.02,16.3,"7,520","2,493",36.62,"5,986.22",46.88,"2,992","8,956",1.54,1.22,0.11,8.27,87.32,0.22,34.41,10.04,88.94,0.25,0.09,61.17,213.29,5.83,0,0.31,0.28,0.09,11.67,70.73,169.02,22.74,45.78,30.79,10.06,19.62,6.39,30.79,7.03,21.53,4.79,22.44,2.71,0.23,0.05,79.08,-9999,-9999,1225
